village,district,state
Ladriwan,Kupwara,JAMMU & KASHMIR
Hundi,Kupwara,JAMMU & KASHMIR
Hayan,Kupwara,JAMMU & KASHMIR
Gungloosa (Gugloosa),Kupwara,JAMMU & KASHMIR
Shum Nag ,Kupwara,JAMMU & KASHMIR
Solina,Kupwara,JAMMU & KASHMIR
Dard Sun Resh Gund,Kupwara,JAMMU & KASHMIR
Guzriyal,Kupwara,JAMMU & KASHMIR
Warsun,Kupwara,JAMMU & KASHMIR
Dard Hari Khar Gund,Kupwara,JAMMU & KASHMIR
Lona Hari,Kupwara,JAMMU & KASHMIR
Kachi Hama,Kupwara,JAMMU & KASHMIR
Meelyal,Kupwara,JAMMU & KASHMIR
Farkan,Kupwara,JAMMU & KASHMIR
Ration Pora,Kupwara,JAMMU & KASHMIR
Dard Pora,Kupwara,JAMMU & KASHMIR
Rawat Pora,Kupwara,JAMMU & KASHMIR
Panzgam ,Kupwara,JAMMU & KASHMIR
Gundi Zuni Reshi,Kupwara,JAMMU & KASHMIR
Chowkibal,Kupwara,JAMMU & KASHMIR
Budnumbal,Kupwara,JAMMU & KASHMIR
Bata Pora,Kupwara,JAMMU & KASHMIR
Sunti Pora,Kupwara,JAMMU & KASHMIR
Aloosa,Kupwara,JAMMU & KASHMIR
Slamat Wari,Kupwara,JAMMU & KASHMIR
Shoolora,Kupwara,JAMMU & KASHMIR
Gofa Bal ,Kupwara,JAMMU & KASHMIR
Poosh Pora,Kupwara,JAMMU & KASHMIR
Qunan Baba Gund,Kupwara,JAMMU & KASHMIR
Hanji Pora,Kupwara,JAMMU & KASHMIR
Kar Hama,Kupwara,JAMMU & KASHMIR
Bali Pora,Kupwara,JAMMU & KASHMIR
Push Wari,Kupwara,JAMMU & KASHMIR
Pari Pora,Kupwara,JAMMU & KASHMIR
Dedi Koot,Kupwara,JAMMU & KASHMIR
Gotangoo,Kupwara,JAMMU & KASHMIR
Mugal Pora,Kupwara,JAMMU & KASHMIR
Ogabal,Kupwara,JAMMU & KASHMIR
Pazi Pora,Kupwara,JAMMU & KASHMIR
Bumhama,Kupwara,JAMMU & KASHMIR
Ander Hama,Kupwara,JAMMU & KASHMIR
Watter Khani,Kupwara,JAMMU & KASHMIR
Hat Mulla,Kupwara,JAMMU & KASHMIR
Wara Pora,Kupwara,JAMMU & KASHMIR
Buber Nag,Kupwara,JAMMU & KASHMIR
Hakcher Pora,Kupwara,JAMMU & KASHMIR
Negrimal Pora,Kupwara,JAMMU & KASHMIR
Shat Muqam,Kupwara,JAMMU & KASHMIR
Bramri,Kupwara,JAMMU & KASHMIR
Rud Bug,Kupwara,JAMMU & KASHMIR
Shedi Pora,Kupwara,JAMMU & KASHMIR
Kigam,Kupwara,JAMMU & KASHMIR
Rakh Machwari,Kupwara,JAMMU & KASHMIR
Forest Block,Kupwara,JAMMU & KASHMIR
Dara Pora (CT),Kupwara,JAMMU & KASHMIR
Sool Koot (CT),Kupwara,JAMMU & KASHMIR
Heri (CT),Kupwara,JAMMU & KASHMIR
Trehgam (CT),Kupwara,JAMMU & KASHMIR
Kral Pora (CT),Kupwara,JAMMU & KASHMIR
Drug Mulla (CT),Kupwara,JAMMU & KASHMIR
Handwara,Kupwara,JAMMU & KASHMIR
Gundi momin,Kupwara,JAMMU & KASHMIR
Sher Kot,Kupwara,JAMMU & KASHMIR
Banger Gund,Kupwara,JAMMU & KASHMIR
Padder Gund,Kupwara,JAMMU & KASHMIR
Dahama,Kupwara,JAMMU & KASHMIR
Cham Pora,Kupwara,JAMMU & KASHMIR
Wowri Pora,Kupwara,JAMMU & KASHMIR
Checki Bakshi,Kupwara,JAMMU & KASHMIR
Gundi Lasa Shah,Kupwara,JAMMU & KASHMIR
Kal Mona,Kupwara,JAMMU & KASHMIR
Pach Kote,Kupwara,JAMMU & KASHMIR
Manz Gam,Kupwara,JAMMU & KASHMIR
Amar Garh,Kupwara,JAMMU & KASHMIR
Tumina (Tembna),Kupwara,JAMMU & KASHMIR
Hafrada,Kupwara,JAMMU & KASHMIR
Cheer Kote,Kupwara,JAMMU & KASHMIR
Wilgam,Kupwara,JAMMU & KASHMIR
Dowlat Pora  ( Panju Dangri),Kupwara,JAMMU & KASHMIR
Doli Pora,Kupwara,JAMMU & KASHMIR
Kukrusa,Kupwara,JAMMU & KASHMIR
Chera Pawa,Kupwara,JAMMU & KASHMIR
Suna Mulloo,Kupwara,JAMMU & KASHMIR
Chera Mandi,Kupwara,JAMMU & KASHMIR
Tulwari,Kupwara,JAMMU & KASHMIR
Pazwal Pora,Kupwara,JAMMU & KASHMIR
Geri Pora,Kupwara,JAMMU & KASHMIR
Magam,Kupwara,JAMMU & KASHMIR
Shog Pora (Shah Pora),Kupwara,JAMMU & KASHMIR
Tampora,Kupwara,JAMMU & KASHMIR
Dudi Pora,Kupwara,JAMMU & KASHMIR
Baki Aker,Kupwara,JAMMU & KASHMIR
Wagri Pora ,Kupwara,JAMMU & KASHMIR
Shihil Hal,Kupwara,JAMMU & KASHMIR
Sodal,Kupwara,JAMMU & KASHMIR
Neli Pora,Kupwara,JAMMU & KASHMIR
Jagar Pur,Kupwara,JAMMU & KASHMIR
Kawa Wari,Kupwara,JAMMU & KASHMIR
Nut Nusa,Kupwara,JAMMU & KASHMIR
Treach,Kupwara,JAMMU & KASHMIR
Kandi  Khas,Kupwara,JAMMU & KASHMIR
Bata Pora  Magam,Kupwara,JAMMU & KASHMIR
Khan Pora,Kupwara,JAMMU & KASHMIR
Voda Pora (Udh Pora),Kupwara,JAMMU & KASHMIR
Athratoo,Kupwara,JAMMU & KASHMIR
Rakhi Shihilhal,Kupwara,JAMMU & KASHMIR
Harni Pora,Kupwara,JAMMU & KASHMIR
Tuli Gund (Tuti Gund),Kupwara,JAMMU & KASHMIR
Maidani Chugal,Kupwara,JAMMU & KASHMIR
Kulan Gam Bagh,Kupwara,JAMMU & KASHMIR
Chugal,Kupwara,JAMMU & KASHMIR
Kultra,Kupwara,JAMMU & KASHMIR
Glura,Kupwara,JAMMU & KASHMIR
Choti Pora,Kupwara,JAMMU & KASHMIR
Kuhru,Kupwara,JAMMU & KASHMIR
Spahan Yaru,Kupwara,JAMMU & KASHMIR
Kachri,Kupwara,JAMMU & KASHMIR
Khonu Baba Gund,Kupwara,JAMMU & KASHMIR
Hanji Shat,Kupwara,JAMMU & KASHMIR
Puhrupath,Kupwara,JAMMU & KASHMIR
Bunagam,Kupwara,JAMMU & KASHMIR
Hari Pora,Kupwara,JAMMU & KASHMIR
Wahi Pora,Kupwara,JAMMU & KASHMIR
 Yunsu,Kupwara,JAMMU & KASHMIR
Ujroo,Kupwara,JAMMU & KASHMIR
Mala  Bagh,Kupwara,JAMMU & KASHMIR
Loki Pora,Kupwara,JAMMU & KASHMIR
Mundi Gam,Kupwara,JAMMU & KASHMIR
Bicherwari,Kupwara,JAMMU & KASHMIR
Super Negam,Kupwara,JAMMU & KASHMIR
Nihama,Kupwara,JAMMU & KASHMIR
Lal Bug,Kupwara,JAMMU & KASHMIR
Gana Pora,Kupwara,JAMMU & KASHMIR
Yaru,Kupwara,JAMMU & KASHMIR
Udi Pora,Kupwara,JAMMU & KASHMIR
Bata Pora,Kupwara,JAMMU & KASHMIR
Hajan,Kupwara,JAMMU & KASHMIR
Muqam Rajwar,Kupwara,JAMMU & KASHMIR
Shat Gund Bala,Kupwara,JAMMU & KASHMIR
Langet,Kupwara,JAMMU & KASHMIR
Kargam,Kupwara,JAMMU & KASHMIR
Marat Gam,Kupwara,JAMMU & KASHMIR
Tulwari,Kupwara,JAMMU & KASHMIR
Shatgund Pain,Kupwara,JAMMU & KASHMIR
Sadura Gund,Kupwara,JAMMU & KASHMIR
Bader Heer,Kupwara,JAMMU & KASHMIR
Bada  Kot Machi Pora,Kupwara,JAMMU & KASHMIR
Khir Man  Tilak Chand,Kupwara,JAMMU & KASHMIR
Nabad Zab,Kupwara,JAMMU & KASHMIR
Nagrad Nar,Kupwara,JAMMU & KASHMIR
Badar Kol,Kupwara,JAMMU & KASHMIR
Bahadar Pora,Kupwara,JAMMU & KASHMIR
Guri Aker,Kupwara,JAMMU & KASHMIR
Waskura,Kupwara,JAMMU & KASHMIR
Wari Pora Guni Pora,Kupwara,JAMMU & KASHMIR
Wadi Pora,Kupwara,JAMMU & KASHMIR
Lachi Pora,Kupwara,JAMMU & KASHMIR
Turka Pora,Kupwara,JAMMU & KASHMIR
Wara Pora,Kupwara,JAMMU & KASHMIR
Pala  Pora,Kupwara,JAMMU & KASHMIR
Ashkan Pora,Kupwara,JAMMU & KASHMIR
Wagat,Kupwara,JAMMU & KASHMIR
Siraj Pora,Kupwara,JAMMU & KASHMIR
Majeed Abad (Pahal Daji),Kupwara,JAMMU & KASHMIR
Khai Pora,Kupwara,JAMMU & KASHMIR
Said Pora (Sultan Pora),Kupwara,JAMMU & KASHMIR
Poshwan (Zachal Dara),Kupwara,JAMMU & KASHMIR
Yamler,Kupwara,JAMMU & KASHMIR
Bawan Wastar,Kupwara,JAMMU & KASHMIR
Lara Bal,Kupwara,JAMMU & KASHMIR
Shati Gam,Kupwara,JAMMU & KASHMIR
Chinja Mula,Kupwara,JAMMU & KASHMIR
Wara Pora,Kupwara,JAMMU & KASHMIR
Raj Pora,Kupwara,JAMMU & KASHMIR
Ahagam,Kupwara,JAMMU & KASHMIR
Krum Hoora (Krim Har),Kupwara,JAMMU & KASHMIR
Kali Pora,Kupwara,JAMMU & KASHMIR
Lilam,Kupwara,JAMMU & KASHMIR
Tarat Pora,Kupwara,JAMMU & KASHMIR
Darel,Kupwara,JAMMU & KASHMIR
Hangni Kot,Kupwara,JAMMU & KASHMIR
Hardunu,Kupwara,JAMMU & KASHMIR
Kinal,Kupwara,JAMMU & KASHMIR
Zaffar Khani,Kupwara,JAMMU & KASHMIR
Waisu Kawnar,Kupwara,JAMMU & KASHMIR
Sarmarg,Kupwara,JAMMU & KASHMIR
Ratten Pora (Behni Pora),Kupwara,JAMMU & KASHMIR
Lacham Pora,Kupwara,JAMMU & KASHMIR
Sochal Yari,Kupwara,JAMMU & KASHMIR
Dugri Pora,Kupwara,JAMMU & KASHMIR
Sat Kojan,Kupwara,JAMMU & KASHMIR
Wader Bala,Kupwara,JAMMU & KASHMIR
Nicha Hama,Kupwara,JAMMU & KASHMIR
Wadar Pain,Kupwara,JAMMU & KASHMIR
Menkal,Kupwara,JAMMU & KASHMIR
Nawgam,Kupwara,JAMMU & KASHMIR
Wahama,Kupwara,JAMMU & KASHMIR
Mawar,Kupwara,JAMMU & KASHMIR
Sanzi Pora Kutlari,Kupwara,JAMMU & KASHMIR
Khudi,Kupwara,JAMMU & KASHMIR
Haider Mari,Kupwara,JAMMU & KASHMIR
Moona Bal,Kupwara,JAMMU & KASHMIR
Lohikot,Kupwara,JAMMU & KASHMIR
Bandi,Kupwara,JAMMU & KASHMIR
Harel,Kupwara,JAMMU & KASHMIR
Shil Thra,Kupwara,JAMMU & KASHMIR
Duda Kuhl,Kupwara,JAMMU & KASHMIR
Sheikh Pora,Kupwara,JAMMU & KASHMIR
Jahama,Kupwara,JAMMU & KASHMIR
Gund Razak,Kupwara,JAMMU & KASHMIR
Darabal Pain,Kupwara,JAMMU & KASHMIR
Darabal Bala,Kupwara,JAMMU & KASHMIR
Budha Bug,Kupwara,JAMMU & KASHMIR
Terina  Tantri Gund,Kupwara,JAMMU & KASHMIR
Ash Pora,Kupwara,JAMMU & KASHMIR
Otingru,Kupwara,JAMMU & KASHMIR
Wara Pora,Kupwara,JAMMU & KASHMIR
 Shanu,Kupwara,JAMMU & KASHMIR
Pingru,Kupwara,JAMMU & KASHMIR
Adura,Kupwara,JAMMU & KASHMIR
Drungsu Shhnagri,Kupwara,JAMMU & KASHMIR
Lach,Kupwara,JAMMU & KASHMIR
Qalam Abad (Kalam Chakla),Kupwara,JAMMU & KASHMIR
Chunti Pora,Kupwara,JAMMU & KASHMIR
Bata Gund,Kupwara,JAMMU & KASHMIR
Hangah,Kupwara,JAMMU & KASHMIR
Wajhama,Kupwara,JAMMU & KASHMIR
Harawat,Kupwara,JAMMU & KASHMIR
Chaka Poran,Kupwara,JAMMU & KASHMIR
Wulrama,Kupwara,JAMMU & KASHMIR
Kunel,Kupwara,JAMMU & KASHMIR
Renan,Kupwara,JAMMU & KASHMIR
Ananwan,Kupwara,JAMMU & KASHMIR
Pandit Pora,Kupwara,JAMMU & KASHMIR
Gund Kamal,Kupwara,JAMMU & KASHMIR
Krala Gund,Kupwara,JAMMU & KASHMIR
Gund Chabutra,Kupwara,JAMMU & KASHMIR
Khana Gund,Kupwara,JAMMU & KASHMIR
Sahi Pora,Kupwara,JAMMU & KASHMIR
Bair Gund,Kupwara,JAMMU & KASHMIR
Thuker  Pora (Thaka Pora),Kupwara,JAMMU & KASHMIR
Ham Pora,Kupwara,JAMMU & KASHMIR
Rasri Pora,Kupwara,JAMMU & KASHMIR
Khai Pora,Kupwara,JAMMU & KASHMIR
Kachlu Qazi Pora,Kupwara,JAMMU & KASHMIR
Pala  Pora,Kupwara,JAMMU & KASHMIR
Muqam Handwan Pora,Kupwara,JAMMU & KASHMIR
Mangwal Pora,Kupwara,JAMMU & KASHMIR
Rawal Pora,Kupwara,JAMMU & KASHMIR
Wangam,Kupwara,JAMMU & KASHMIR
Badrah,Kupwara,JAMMU & KASHMIR
Shihil Pora,Kupwara,JAMMU & KASHMIR
Reshi Pora,Kupwara,JAMMU & KASHMIR
Dedar Pora,Kupwara,JAMMU & KASHMIR
Pazi Pora,Kupwara,JAMMU & KASHMIR
Khawar Ware,Kupwara,JAMMU & KASHMIR
Safal Pora,Kupwara,JAMMU & KASHMIR
Krala Pora,Kupwara,JAMMU & KASHMIR
Renga  Path,Kupwara,JAMMU & KASHMIR
Forest Block,Kupwara,JAMMU & KASHMIR
Karnah,Kupwara,JAMMU & KASHMIR
Pernai,Kupwara,JAMMU & KASHMIR
Karhama,Kupwara,JAMMU & KASHMIR
Tarban Seemari,Kupwara,JAMMU & KASHMIR
Teetwal,Kupwara,JAMMU & KASHMIR
Gundi Gojran,Kupwara,JAMMU & KASHMIR
Peir Panjoh,Kupwara,JAMMU & KASHMIR
Dildar,Kupwara,JAMMU & KASHMIR
Kandi ,Kupwara,JAMMU & KASHMIR
Baghbala,Kupwara,JAMMU & KASHMIR
Hajinar,Kupwara,JAMMU & KASHMIR
Nichian,Kupwara,JAMMU & KASHMIR
Hindwal,Kupwara,JAMMU & KASHMIR
Shamis Pora (Hapat Khamni),Kupwara,JAMMU & KASHMIR
Badwan,Kupwara,JAMMU & KASHMIR
Gomal,Kupwara,JAMMU & KASHMIR
Khawarpara,Kupwara,JAMMU & KASHMIR
Tarbuni,Kupwara,JAMMU & KASHMIR
Chani Pora Bala,Kupwara,JAMMU & KASHMIR
Cham Koote,Kupwara,JAMMU & KASHMIR
Chatar Koote,Kupwara,JAMMU & KASHMIR
Gundi Sayedan,Kupwara,JAMMU & KASHMIR
Dragar,Kupwara,JAMMU & KASHMIR
Drangla Bayadi ,Kupwara,JAMMU & KASHMIR
Ibkoote,Kupwara,JAMMU & KASHMIR
Bahardas Koot,Kupwara,JAMMU & KASHMIR
Pingla Haridal,Kupwara,JAMMU & KASHMIR
Gundi Shorth,Kupwara,JAMMU & KASHMIR
Chani Pora Pain,Kupwara,JAMMU & KASHMIR
Tad,Kupwara,JAMMU & KASHMIR
Panj Taran,Kupwara,JAMMU & KASHMIR
Pararah,Kupwara,JAMMU & KASHMIR
Amrooi,Kupwara,JAMMU & KASHMIR
Chat Kari,Kupwara,JAMMU & KASHMIR
Sud Pura,Kupwara,JAMMU & KASHMIR
Dhanni,Kupwara,JAMMU & KASHMIR
Gasla,Kupwara,JAMMU & KASHMIR
Hajitrah,Kupwara,JAMMU & KASHMIR
Kohnagabra,Kupwara,JAMMU & KASHMIR
Jabri,Kupwara,JAMMU & KASHMIR
Bijidarah,Kupwara,JAMMU & KASHMIR
Forest Block,Kupwara,JAMMU & KASHMIR
Tangdhar (CT),Kupwara,JAMMU & KASHMIR
Nowangabra (CT),Kupwara,JAMMU & KASHMIR
Badgam,Badgam,JAMMU & KASHMIR
Khag,Badgam,JAMMU & KASHMIR
Raihan Bag (Malwah),Badgam,JAMMU & KASHMIR
Zahid Bag (Gund Dalwach),Badgam,JAMMU & KASHMIR
Larik Pora,Badgam,JAMMU & KASHMIR
Bunagund,Badgam,JAMMU & KASHMIR
Buna Sharan,Badgam,JAMMU & KASHMIR
Badran,Badgam,JAMMU & KASHMIR
Bamurad,Badgam,JAMMU & KASHMIR
Pala Pora,Badgam,JAMMU & KASHMIR
Parapora(Peerpora),Badgam,JAMMU & KASHMIR
Iskineder Pora,Badgam,JAMMU & KASHMIR
Ichehama,Badgam,JAMMU & KASHMIR
Hardu Surash,Badgam,JAMMU & KASHMIR
Looki Pora,Badgam,JAMMU & KASHMIR
Peth Saharan,Badgam,JAMMU & KASHMIR
Dalwach Khored,Badgam,JAMMU & KASHMIR
Poshker,Badgam,JAMMU & KASHMIR
Alam Nag,Badgam,JAMMU & KASHMIR
Trapay,Badgam,JAMMU & KASHMIR
Punj Yari,Badgam,JAMMU & KASHMIR
Nasar Pora,Badgam,JAMMU & KASHMIR
Ramdar Chakpora,Badgam,JAMMU & KASHMIR
Khag,Badgam,JAMMU & KASHMIR
Lowahi Pora,Badgam,JAMMU & KASHMIR
Hamchi Pora,Badgam,JAMMU & KASHMIR
Nagabal,Badgam,JAMMU & KASHMIR
Abandar,Badgam,JAMMU & KASHMIR
Awan Pora,Badgam,JAMMU & KASHMIR
Mala Pora Khag,Badgam,JAMMU & KASHMIR
Rawat Pora,Badgam,JAMMU & KASHMIR
Zagi Pora,Badgam,JAMMU & KASHMIR
Kanchati Pora,Badgam,JAMMU & KASHMIR
Khawja Gund,Badgam,JAMMU & KASHMIR
Sugin Yarinar,Badgam,JAMMU & KASHMIR
Koker Bagh,Badgam,JAMMU & KASHMIR
Shungli Pora,Badgam,JAMMU & KASHMIR
Habar Daradlasi Pora,Badgam,JAMMU & KASHMIR
Drang,Badgam,JAMMU & KASHMIR
Chere Haroo,Badgam,JAMMU & KASHMIR
Khan Pora,Badgam,JAMMU & KASHMIR
Khanday Pora,Badgam,JAMMU & KASHMIR
Kangri Pora,Badgam,JAMMU & KASHMIR
Chaker Pora,Badgam,JAMMU & KASHMIR
Bata Pora Drang,Badgam,JAMMU & KASHMIR
Lachman Pora,Badgam,JAMMU & KASHMIR
Udar Khodlasi Pora,Badgam,JAMMU & KASHMIR
Sochal Pora,Badgam,JAMMU & KASHMIR
Sita Haran,Badgam,JAMMU & KASHMIR
Khahi Pora,Badgam,JAMMU & KASHMIR
Forest Block,Badgam,JAMMU & KASHMIR
Beerwah,Badgam,JAMMU & KASHMIR
Sozeth Gori Pora,Badgam,JAMMU & KASHMIR
Gagar Pora,Badgam,JAMMU & KASHMIR
Nar Bal,Badgam,JAMMU & KASHMIR
Gund Khalil,Badgam,JAMMU & KASHMIR
Yaru Gund,Badgam,JAMMU & KASHMIR
Kawsa Jagir,Badgam,JAMMU & KASHMIR
Kawsa Khalisa,Badgam,JAMMU & KASHMIR
Lohar Chak,Badgam,JAMMU & KASHMIR
Hurdu Waminu,Badgam,JAMMU & KASHMIR
Now Pora Pain,Badgam,JAMMU & KASHMIR
Mazehama,Badgam,JAMMU & KASHMIR
Kanihama (Gund Kawarehama),Badgam,JAMMU & KASHMIR
Mani Hama,Badgam,JAMMU & KASHMIR
Bata Pora Kanihama,Badgam,JAMMU & KASHMIR
Roshan Abad (Chak Dewan Badri Nath),Badgam,JAMMU & KASHMIR
Ship Pora,Badgam,JAMMU & KASHMIR
Kanth Bagh,Badgam,JAMMU & KASHMIR
Snoor Kali Pora,Badgam,JAMMU & KASHMIR
Aqil Pora (Razi Wan),Badgam,JAMMU & KASHMIR
Rassoo,Badgam,JAMMU & KASHMIR
Watal Pora Banda Pora,Badgam,JAMMU & KASHMIR
Bandagam,Badgam,JAMMU & KASHMIR
Panchas,Badgam,JAMMU & KASHMIR
Chere Har,Badgam,JAMMU & KASHMIR
Hardu Mala Pora,Badgam,JAMMU & KASHMIR
Chair Giun,Badgam,JAMMU & KASHMIR
Mati Pora,Badgam,JAMMU & KASHMIR
Sehpora      ,Badgam,JAMMU & KASHMIR
Wata Magam,Badgam,JAMMU & KASHMIR
Peth Kanihama,Badgam,JAMMU & KASHMIR
Adina,Badgam,JAMMU & KASHMIR
Pari Pora,Badgam,JAMMU & KASHMIR
Peth Mekehama,Badgam,JAMMU & KASHMIR
Rathsun,Badgam,JAMMU & KASHMIR
Hanji BuJ,Badgam,JAMMU & KASHMIR
Bun Meke Hama,Badgam,JAMMU & KASHMIR
Rede Bug,Badgam,JAMMU & KASHMIR
Dragar,Badgam,JAMMU & KASHMIR
Chak Dewan Lakhimandass,Badgam,JAMMU & KASHMIR
Wani Hama ,Badgam,JAMMU & KASHMIR
Miri Pora,Badgam,JAMMU & KASHMIR
Mulemanchi Hama,Badgam,JAMMU & KASHMIR
Mulashulla ,Badgam,JAMMU & KASHMIR
Charan Gam ,Badgam,JAMMU & KASHMIR
Daji Malik Gund,Badgam,JAMMU & KASHMIR
Hanji Laway Pora,Badgam,JAMMU & KASHMIR
Poonch Gund,Badgam,JAMMU & KASHMIR
Nijlu,Badgam,JAMMU & KASHMIR
Bonahama,Badgam,JAMMU & KASHMIR
Saihama,Badgam,JAMMU & KASHMIR
Basi Pora,Badgam,JAMMU & KASHMIR
Gund Mumadar,Badgam,JAMMU & KASHMIR
Lasi Pora,Badgam,JAMMU & KASHMIR
Bupat,Badgam,JAMMU & KASHMIR
Gam Pora,Badgam,JAMMU & KASHMIR
Sechin Banet,Badgam,JAMMU & KASHMIR
Mamgund,Badgam,JAMMU & KASHMIR
Rani Pora,Badgam,JAMMU & KASHMIR
Malpora Sehkanaw,Badgam,JAMMU & KASHMIR
Danash,Badgam,JAMMU & KASHMIR
Paharthan,Badgam,JAMMU & KASHMIR
Chak Danas,Badgam,JAMMU & KASHMIR
Gundi Pora,Badgam,JAMMU & KASHMIR
Otilgam,Badgam,JAMMU & KASHMIR
Narawarah,Badgam,JAMMU & KASHMIR
Hayat Pora,Badgam,JAMMU & KASHMIR
Churu Mujru,Badgam,JAMMU & KASHMIR
Atinu,Badgam,JAMMU & KASHMIR
Sone Pah,Badgam,JAMMU & KASHMIR
Chewdara,Badgam,JAMMU & KASHMIR
Ohangam,Badgam,JAMMU & KASHMIR
Arwah,Badgam,JAMMU & KASHMIR
Ari Panthan,Badgam,JAMMU & KASHMIR
Kanda Hama,Badgam,JAMMU & KASHMIR
Gamboora,Badgam,JAMMU & KASHMIR
Nassoo,Badgam,JAMMU & KASHMIR
Kali Pora,Badgam,JAMMU & KASHMIR
Narsing Pora,Badgam,JAMMU & KASHMIR
Lalpora Beeru,Badgam,JAMMU & KASHMIR
Kanih Gund,Badgam,JAMMU & KASHMIR
Gori Pora,Badgam,JAMMU & KASHMIR
Kandoora,Badgam,JAMMU & KASHMIR
Renki Pora,Badgam,JAMMU & KASHMIR
Najan,Badgam,JAMMU & KASHMIR
Shuli Gund,Badgam,JAMMU & KASHMIR
Chanthan Chak Pora,Badgam,JAMMU & KASHMIR
Sangram Pora,Badgam,JAMMU & KASHMIR
Chak Paharthan,Badgam,JAMMU & KASHMIR
Otter Pora,Badgam,JAMMU & KASHMIR
Larabal,Badgam,JAMMU & KASHMIR
Chare  Khan,Badgam,JAMMU & KASHMIR
Hardu Latinu,Badgam,JAMMU & KASHMIR
Buna Zanigam,Badgam,JAMMU & KASHMIR
Sail,Badgam,JAMMU & KASHMIR
Pakhar Pora,Badgam,JAMMU & KASHMIR
Path Zani Gam,Badgam,JAMMU & KASHMIR
Mashun,Badgam,JAMMU & KASHMIR
Dachan (Dasan),Badgam,JAMMU & KASHMIR
Gunj Lal Pora,Badgam,JAMMU & KASHMIR
Pandow Pora,Badgam,JAMMU & KASHMIR
Haranj Garoo,Badgam,JAMMU & KASHMIR
Zabgala,Badgam,JAMMU & KASHMIR
Pethkoot,Badgam,JAMMU & KASHMIR
