article_id,event,location_prediction,date_prediction,event_type
8,"“A Kashmiri Pandit delegation pursuing return of 419 families to the Valley also apprised MoS Home about A Kashmiri Pandit delegation pursuing return of 419 families to the Valley's detailed meetings with the Hurriyat Conference (M) chairman Mirwaiz Umar Farooq and the Hurriyat Conference (M) chairman Mirwaiz Umar Farooq's support to facilitate smooth return of 419 families,” Kashmiri Pandit activist Satish Mahaldar added.Kashmiri Pandit activist Satish MahaldarNew Delhi , said that A Kashmiri Pandit delegation pursuing return of 419 families to the Valley conveyed to MoS Home that 419 families are willing to return to Kashmir and live again alongside 419 families's Muslim brethren.",['Kashmir'],2019-07-20,down
8,"Kashmiri Pandit activist Satish Mahaldar said A Kashmiri Pandit delegation pursuing return of 419 families to the Valley “opposed separate townships and colonies as part of the return package.”“We made it clear that Kashmiri Pandits are not ready to live in separate colonies,” Kashmiri Pandit activist Satish Mahaldar said.",['Kashmir'],2019-07-20,down
8,"Kashmiri Pandit activist Satish Mahaldar said in a detailed memorandum it has been made clear that 419 families would like to settle down in districts of Kashmir that includes Srinagar, Anantnag, Baramulla,  Budgam, Kupwara and Ganderbal.","['Kupwara, Kupwara, JAMMU & KASHMIR', 'Budgam, Badgam, JAMMU & KASHMIR', 'Ganderbal, Ganderbal, JAMMU & KASHMIR', 'Kashmir', 'Baramulla, Baramula, JAMMU & KASHMIR']",2019-07-20,down
8,“A Kashmiri Pandit delegation pursuing return of 419 families to the Valley got a very positive response from MoS Home.,"['Kupwara, Kupwara, JAMMU & KASHMIR', 'Budgam, Badgam, JAMMU & KASHMIR', 'Ganderbal, Ganderbal, JAMMU & KASHMIR', 'Kashmir', 'Baramulla, Baramula, JAMMU & KASHMIR']",2019-07-20,down
8,MoS Home assured A Kashmiri Pandit delegation pursuing return of 419 families to the Valley that Government of India is committed to the return and rehabilitation of 419 families and Government of India is soon going to take steps in this direction.,"['Kupwara, Kupwara, JAMMU & KASHMIR', 'Budgam, Badgam, JAMMU & KASHMIR', 'Ganderbal, Ganderbal, JAMMU & KASHMIR', 'Kashmir', 'Baramulla, Baramula, JAMMU & KASHMIR']",2019-07-20,down
8,MoS Home also assured A Kashmiri Pandit delegation pursuing return of 419 families to the Valley that security concerns will also be taken care of.”A source in the BJP’s said that Government of India has agreed in principle to work on the return and rehabilitation of KPs and to allow 419 families to settle down in the places identified by A Kashmiri Pandit delegation pursuing return of 419 families to the Valley in six districts across Kashmir.,"['Kupwara, Kupwara, JAMMU & KASHMIR', 'Budgam, Badgam, JAMMU & KASHMIR', 'Ganderbal, Ganderbal, JAMMU & KASHMIR', 'Kashmir', 'Baramulla, Baramula, JAMMU & KASHMIR']",2019-07-20,down
8,"“the BJP’s will further study the pros and cons before taking the final call on the return and rehabilitation of KPs,” ”A source in the MHA said.A Kashmiri Pandit delegation pursuing return of 419 families to the Valley has also submitted the similar memorandums to the BJP’s's national vice president Avinash Rai Khanna and Government of India's interlocutor on Kashmir Dineshwar Sharma.","['Kupwara, Kupwara, JAMMU & KASHMIR', 'Budgam, Badgam, JAMMU & KASHMIR', 'Ganderbal, Ganderbal, JAMMU & KASHMIR', 'Kashmir', 'Baramulla, Baramula, JAMMU & KASHMIR']",2019-07-20,down
8,“In A Kashmiri Pandit delegation pursuing return of 419 families to the Valley's memorandum to BJP’s national vice president Avinash Rai Khanna A Kashmiri Pandit delegation pursuing return of 419 families to the Valley have advocated for our settlement in different districts to ensure that age-old composite culture is revived.,"['Kupwara, Kupwara, JAMMU & KASHMIR', 'Budgam, Badgam, JAMMU & KASHMIR', 'Ganderbal, Ganderbal, JAMMU & KASHMIR', 'Kashmir', 'Baramulla, Baramula, JAMMU & KASHMIR']",2019-07-20,down
8,"BJP’s national vice president Avinash Rai Khanna told A Kashmiri Pandit delegation pursuing return of 419 families to the Valley that BJP’s national vice president Avinash Rai Khanna will discuss the return and rehabilitation of KPs with the party leadership,” Kashmiri Pandit activist Satish Mahaldar said.It may be recalled that A Kashmiri Pandit delegation pursuing return of 419 families to the Valley KP had earlier met the Hurriyat Conference (M) chairman Mirwaiz Umar Farooq in Srinagar and discussed in detail the return and rehabilitation of KPs.","['Kupwara, Kupwara, JAMMU & KASHMIR', 'Budgam, Badgam, JAMMU & KASHMIR', 'Ganderbal, Ganderbal, JAMMU & KASHMIR', 'Kashmir', 'Baramulla, Baramula, JAMMU & KASHMIR']",2019-07-20,down
8,the Hurriyat Conference (M) chairman Mirwaiz Umar Farooq has constituted a committee comprising Hurriyat Conference (M) members that is working closely with A Kashmiri Pandit delegation pursuing return of 419 families to the Valley so that ways and means for the smooth return of 419 families are reached at.,"['Kupwara, Kupwara, JAMMU & KASHMIR', 'Budgam, Badgam, JAMMU & KASHMIR', 'Ganderbal, Ganderbal, JAMMU & KASHMIR', 'Kashmir', 'Baramulla, Baramula, JAMMU & KASHMIR']",2019-07-20,down
9,"The Cultural Committee, Islamia College of Science and Commerce organised a theme based ""Run for a Healthy Culture"" from Nehru Park to SKICC at 6 in the morning.",['Nehru Park'],2019-07-20,off
9,"Principal of Islamia College of Science and Commerce, Prof. Dr Sheikh Ajaz Bashir flagged off a theme based ""Run for a Healthy Culture"" and also accompanied the participants to boost the participants's morale.",['Nehru Park'],2019-07-20,off
9,"a theme based ""Run for a Healthy Culture"" was organised for girls only, to emphasize on importance of health for women folk.",['Nehru Park'],2019-07-20,off
10,Militants on Friday evening made an abortive bid to snatch weapons from police at Aamnoo area of Qazigund in south Kashmir’s Kulgam district.,"['Aamnoo', 'Kashmir']",2019-07-20,snatch
10,"As per reports, militants fired upon a party of special operations group (SOG) while a party of special operations group (SOG) were at a petrol filling station at Aamnoo area of Qazigund in south Kashmir’s Kulgam district.","['Aamnoo', 'Kashmir']",2019-07-20,snatch
10,"fired was retaliated by a party of special operations group (SOG) special operations group (SOG) and in the meantime, reinforcements of army’s 9 RR and police reached the spot and launched the searches in Aamnoo area of Qazigund in south Kashmir’s Kulgam district.","['Aamnoo', 'Kashmir']",2019-07-20,snatch
11,"Chennai: The National Investigation Agency (NIA) is conducting searches at various locations in Tamil Nadu as part of The National Investigation Agency (NIA)'s probe into the &#8216;Ansarullah&#8217; terror module case, police said Saturday.",['Tamil Nadu'],2019-07-20,terror
11,"searches at various locations in Tamil Nadu are being carried out in Chennai, Madurai, Tirunelveli and Ramanathapuram district, police said without divulging further details.","['Tamil Nadu', 'Tirunelveli']",2019-07-20,terror
11,searches at various locations in Tamil Nadu come a day after a special [&#8230;],['Tamil Nadu'],2019-07-20,terror
12,"Itanagar/Guwahati: An earthquake of 5.5 magnitude hit Arunachal Pradesh Saturday, a day after three quakes shook Arunachal Pradesh within minutes of each other, the MeT Department said.",['Arunachal Pradesh'],2019-07-20,hit
12,"The latest quake, tremors of which were felt in Assam, occurred at 4.24 am at a depth of 10 km with the epicentre in East Kameng district of [&#8230;]","['Assam', 'East Kameng']",2019-07-20,hit
13,(PTI),[''],2019-07-20,move
14,"Banihal/Jammu: Four persons including three members of a family were killed and two others critically injured on Saturday after Four persons including three members of a family's SUV skidded off the road and plunged into a 500-ft-deep gorge in Ramban district of Jammu and Kashmir, police said.",['Kashmir'],2019-07-20,off
14,The accident occurred near Binjoni area of Senabati when Four persons including three members of a family were returning from Sharvadhar [&#8230;],"['Senabati', 'Sharvadhar', 'Binjoni']",2019-07-20,off
15,"Meanwhile, a 19-year-old scooty rider was killed after an oil tanker hit a 19-year-old scooty rider in South Kashmir’s Shopian district.Official sources said that an oil tanker hit scooty (JK13D -3510) near Sindoo Shirmal village of South Kashmir’s Shopian district, leaving a 19-year-old scooty rider critically Injured.a 19-year-old scooty rider was shifted to district hospital Shopian for treatment where a 19-year-old scooty rider succumbed to a 19-year-old scooty rider's Injuries, Official sources said.a 19-year-old scooty rider has been identified as Moonis Shabir son of Shabir Ahmad Bhat of Gaberpora Hawal of Pulwama district.A Police official confirmed the Incident and said that a case has been registered and investigation started.","['South Kashmir', 'Shopian, Shupiyan, JAMMU & KASHMIR', 'Sindoo Shirmal']",2019-07-20,off
16,"SRINAGAR — On his visit to Kargil War Memorial in Drass sector on Saturday, hisonce again  said that resolution of Kashmir issue is on the cards and that “no power on the earth can stop resolution of Kashmir issue”.","['Kashmir', 'Memorial']",2019-07-20,take
16,"resolution of Kashmir issue, his added,  is bound to take place and that his is saying it with ""full responsibility"".his slammed Hurriyat for not talking to New Delhi and  recalled that how Hurriyat leaders did not open Hurriyat leaders's doors for visiting members of the all-party delegation once led by his to the Valley.",['Kashmir'],2019-07-20,take
16,his's statement follows a series of similar noises made by senior BJP leaders including the home minister Amit Shah.,['Kashmir'],2019-07-20,take
16,senior BJP leaders including the home minister Amit Shah have been talking about resolving Kashmir by  executing BJP's long-standing ideological agenda on J&K.,['Kashmir'],2019-07-20,take
16,The Prime Minister Narendra Modi The Prime Minister Narendra Modi himself has often made a case for the removal of the Article 370 and 35A which give special cinstitutional status to Kashmir.,['Kashmir'],2019-07-20,take
16,"According to The Prime Minister Narendra Modi himself the Article 370 and 35A which give special cinstitutional status to Kashmir have done ""maximum damage"" to Kashmir as no investors wanted to go to Kashmir as no investors couldn't buy land.",['Kashmir'],2019-07-20,take
16,"Ironically, the PM at the same time has also defended the former Prime Minister Atal Bihari Vajpayee slogan of 'Insaniyat, Jamhooriyat and Insaniyat'.the former Prime Minister Atal Bihari Vajpayee's call for resolution of Kashmir ""within the ambit of Insaniyat"" was about working for a consensus-based resolution of Kashmir with Pakistan on board.",['Kashmir'],2019-07-20,take
16,a consensus-based resolution of Kashmir with Pakistan on board was also about willingness to talk to separatists in Kashmir  outside the framework of the Constitution.,['Kashmir'],2019-07-20,take
16,"But in BJP's five years in power, BJP has desisted from engaging with Kashmiri separatists or Pakistan except on BJP's  terms.",['Kashmir'],2019-07-20,take
16,"In fact,  BJP's accent is now more on removal of the Article 370 and 35A which give special cinstitutional status to Kashmir.",['Kashmir'],2019-07-20,take
16,"Article 35A defines permanent residents of Kashmir, restricts employment  to permanent residents and grants state legislature power with regard to settlements in Kashmir.",['Kashmir'],2019-07-20,take
16,"Now if Article 35A goes, goes means the protection available to permanent residents will go and the protection available to permanent residents will also go in case of employment and acquisition of property and scholarships.This has created some anxiety in Kashmir about BJP's policy on Kashmir.",['Kashmir'],2019-07-20,take
16,"the home minister Amit Shah has only further made it clear  that Article 370 will be withdrawn from Jammu and Kashmir.If anything, BJP's Kashmir policy is thus destined to add to the deep sense of grievance  in Kashmir.",['Kashmir'],2019-07-20,take
16,In recent years Kashmir has already witnessed much turmoil over the attempts to withdraw Kashmir's special position under the Constitution.,['Kashmir'],2019-07-20,take
16,"But as Pakistan Prime Minister Imran Khan too has mentioned in Pakistan Prime Minister Imran Khan's statements, it is the PM Modi too who is seen as the best hope for a Kashmir resolution.",['Kashmir'],2019-07-20,take
16,"And Pakistan Prime Minister Imran Khan is not alone in this opinion, a significant section of public opinion in Kashmir also shares this opinion.",['Kashmir'],2019-07-20,take
16,And there is a reason for shares.,['Kashmir'],2019-07-20,take
16,The previous BJP government under the former Prime Minister Atal Bihari Vajpayee is credited with initiating one of the most promising dialogue processes with Pakistan.,['Kashmir'],2019-07-20,take
16,And such talks happened despite Kargil war and despite nuclear explosions by the two countries.,['Kashmir'],2019-07-20,take
16,But would the PM Modi adopt the former Prime Minister Atal Bihari Vajpayee's Kashmir mantra both in letter and spirit now that the former Prime Minister Atal Bihari Vajpayee has returned to power with a stronger mandate?,['Kashmir'],2019-07-20,take
16,There's no telling adopt would happen.,['Kashmir'],2019-07-20,take
16,"But if adopt does, adopt would certainly make a redeeming difference to the situation in Kashmir.",['Kashmir'],2019-07-20,take
17,"‘Sacrifice of martyrs will continue to be a beacon of struggle of dignity’ Jammu and Kashmir National Conference (NC) on Friday rejected the remarks on the 1931 martyrs by some quarters as horrendous and obnoxious—saying Friday marked the open revolt against a despotic, pitiless and tyrant autocratic government.",['Kashmir'],2019-07-20,struggle
18,"Alcoholism and drug addiction being forbidden by divine laws, Alcoholism and drug addiction's procurement gives rise to a number of crimes Alcoholism and drug addiction may be conceptualized as a crime without victim, i.e., addict addict himself is the victim who becomes a prey of Alcoholism and drug addiction's misuse.",[''],2019-07-20,crime
18,"This devastating melody is eroding the roosts of social, economic and cultural fabric of a Society.",[''],2019-07-20,crime
18,This devastating melody gives rise to criminality and criminal behavior which eventually leads to social disorganization.,[''],2019-07-20,crime
18,Alcoholism and drug related offences being victimless crime; Alcoholism and drug related offences fall in the category of public order crimes.,[''],2019-07-20,crime
18,"Alcoholism and drug habituations have been prevalent in most societies over the ages because of Alcoholism and drug habituations's allegedly pleasurable and relaxing effects or as a means of relieving physical tensions, fatigue and as a stimulant to withstand adversities.",[''],2019-07-20,crime
18,"Experience has shown that various preventive and punitive measures such as fine, imprisonment or detention for drunkenness and other disorderly behaviors have failed in eliminating Alcoholism and drug habituations.",[''],2019-07-20,crime
19,"Beijing: As Chinese President Xi Jinping is set to visit India later this year for Chinese President Xi Jinping's second informal summit with Prime Minister Narendra Modi, China has said the two neighbours should not allow any &#8220;individual case at certain time&#8221; to disrupt the bilateral relations and take more initiatives to move forward the bilateral ties in [&#8230;]",[''],2019-07-20,take
20,"ANANTNAG: Financial Commissioner Health &#38; Medical Education Department J&#38;K, Atal Duloo, who is also the In-charge Secretary district Anantnag, on Saturday chaired a meeting of the officers and engineers of ANANTNAG here in Dak Bungalow, Khannabal and took a detailed review of the developmental works, mega and languishing projects under execution in ANANTNAG.","['Khannabal', 'Dak Bungalow']",2019-07-20,execution
20,"Atal Duloo, who is also the In-charge Secretary district Anantnag [&#8230;]","['Khannabal', 'Dak Bungalow']",2019-07-20,execution
21,"Senior party leaders, functionaries pledge to take party’s mission forward A day-long workers convention of Khanyar assembly segment was held on Friday by party’s with senior party leaders and functionaries attending A day-long workers convention of Khanyar assembly segment.",['Khanyar'],2019-07-20,take
22,"Washington: The United States would press Pakistan Prime Minister Imran Khan, who is slated to meet President Donald Trump next week to facilitate peace talks with the Taliban for an intra-Afghan dialogue, the White House said Friday.",[''],2019-07-20,press
22,"Pakistan Prime Minister Imran Khan, who is slated to meet President Donald Trump next week to facilitate peace talks with the Taliban for an intra-Afghan dialogue is scheduled to meet President Donald Trump at President Donald Trump's Oval Office on Monday, the first by [&#8230;]",['Oval Office'],2019-07-20,press
23,"ISLAMABAD — Prime Minister Imran Khan on Saturday left for Prime Minister Imran Khan's maiden trip to the US to have face-to-face talks with President Donald Trump and ""refresh"" bilateral relations that were hit after he publicly criticised ISLAMABAD —, cancelled military aid and asked ISLAMABAD — to do more to fight terrorism.his maiden trip to the US comes at a time when talks between the US and Afghan Taliban are thought to have entered a decisive phase.Relations between Pakistan and the US have remained tense during President Donald Trump's tenure.",[''],2019-07-20,hit
23,Prime Minister Imran Khan would fly by a commercial flight and would land in Washington on Saturday evening.,[''],2019-07-20,hit
23,"""Pakistan - we'll be meeting with Pakistan.",[''],2019-07-20,hit
23,"President Donald Trump think we's relationship right now is very good with Pakistan,"" President Donald Trump said at the end of a the White House media interaction when a journalist asked President Donald Trump to comment on the current situation between India and Pakistan.US envoy Zalmay Khalilzad is spearheading efforts to strike a peace deal with Afghan Taliban with the help of Pakistan.US envoy Zalmay KhalilzadAfghanistan , said that Pakistan has an important role to play in Afghan peace talks and cannot be under estimated.The representatives of Afghan Taliban, the US as well as officials from Pakistan and Saudi Arabia have been meeting in Doha, Qatar.",[''],2019-07-20,hit
23,"meeting were facilitated by ISLAMABAD — as the US continues to seek an end to the nearly 18-year war in Afghanistan that has killed over 2,000 US soldiers.",[''],2019-07-20,hit
24,"JAMMU — A man was injured during cross-border firing along the Line of Control (LoC) in Poonch district of JAMMU and Kashmir on Saturday, officials said.","['Kashmir', 'Poonch']",2019-07-20,panic
24,"""At about 0900 hours, Pakistan started firing of small arms and shelling with mortars along the Line of Control (LoC) in Mendhar sector,"" said an Army spokesperson adding that the forces were retaliating and there was no immediate report of any casualty.","['Mendhar, Punch, JAMMU & KASHMIR']",2019-07-20,panic
24,"A man, was injured and was hospitalised, A man said.cross-border firing along the Line of Control (LoC) in Poonch district of Jammu and Kashmir on Saturday was still on when last reports were received, a police officer said, adding that cross-border firing along the Line of Control (LoC) in Poonch district of Jammu and Kashmir on Saturday triggered panic among the border residents who have been directed to stay at safer places.","['Kashmir', 'Poonch']",2019-07-20,panic
24,(PTI)  .,"['Kashmir', 'Poonch']",2019-07-20,panic
25,SRINAGAR — Three persons of a family died while four other passengers were injured after a cab Three persons of a family were travelling in met with an accident near Ukhriyal-Senbhatti link road in Banihal area of Ramban district.Reports said that a cab they were travelling in skidded off Ukhriyal-Senbhatti link road and rolled down into a deep gorge resulting in injuries to four other passengers.,['Ukhriyal - Senbhatti'],2019-07-20,off
25,"All the injured were evacuated to nearby hospital where Three persons of a family All the injured were declared brought dead on arrival.Three persons of a family have been identified as Surjit Singh (50), Surjit Singh (50)'s wife Kaushali and Surjit Singh (50), his wife Kaushali and their daughter Neelum Devi (20) of Koot area of Ukhriyal's daughter Neelum Devi (20) of Koot area of Ukhriyal.Additional Deputy Commissioner Dr. Basharat Inqualabi, when contacted confirmed died.",['Ukhriyal'],2019-07-20,off
25,Additional Deputy Commissioner Dr. Basharat Inqualabi said that All the injured after being operated upon in a local health facility have been removed to district hospital Ramban for specialized treatment.,['Ukhriyal'],2019-07-20,off
26,"Dhubri(Assam): A rape accused undertrial escaped from a designated district jail at Dhubri in Assam and was apprehended within 60 hours from neighbouring Kokrajhar district, police said on Saturday.","['Dhubri', 'Assam']",2019-07-20,rape
26,Dhubri Girls College had been converted into a designated prison with stipulated security after a designated district jail at Dhubri in Assam was submerged in knee deep water due to the [&#8230;],"['Dhubri', 'Assam']",2019-07-20,rape
27,"SRINAGAR — The Advisor to Governor K Skandan Saturday urged financial institutions to give a thought for ‘positive policy’ to fund startups by associating startups with innovation ecosystems to guide startups in startups's early stages of business.SRINAGAR — The Advisor to Governor K Skandan Saturday stated urged during a launch ceremony of ‘Smart JK Hackathon’—the first State-level Innovation Competition—at J&K Entrepreneurship Development Institute (EDI), Pampore.‘Smart JK Hackathon’—the first State-level Innovation Competition is aimed to institutionalize a model for harnessing the creativity and technical expertise of students and innovators to an already defined problem statement.","['Pampore, Pulwama, JAMMU & KASHMIR']",2019-07-20,move
27,"SRINAGAR — The Advisor to Governor K Skandan Saturday also stressed on the need to link the innovative startups to other parts of the state so that the innovative startups get the real exposure the innovative startups require to scale heights.SRINAGAR — The Advisor to Governor K Skandan Saturday also urged J&K Entrepreneurship Development Institute (EDI), Pampore and institutions like Atal Innovation Mission (AIM) to do workshops in collaborations so that experts would share experts's expertise with young entrepreneurs.","['Pampore, Pulwama, JAMMU & KASHMIR']",2019-07-20,move
28,SRINAGAR —  National Conference president Farooq Abdullah Saturday said annulling Articles 370 and 35-A will tantamount to a constitutional coup.National Conference president Farooq Abdullah asserted that 370 is essential and unassailable until a final resolution of the issue of Jammu and Kashmir is reached.,['Kashmir'],2019-07-20,obliterate
28,"""Keeping in view the special circumstances (at the time of accession of J&K to India), 370 was added to the Constitution of India.",['Kashmir'],2019-07-20,obliterate
28,"370 will remain as 370 is until the final resolution of the issue of Jammu and Kashmir Jammu and Kashmir Kashmir is not reached to,"" National Conference president Farooq Abdullah said addressing a party convention in Handwara area of Kupwara district.","['Kashmir Kashmir', 'Kupwara, Kupwara, JAMMU & KASHMIR', 'Kashmir']",2019-07-20,obliterate
28,"""So until the issue of Jammu and Kashmir is solved, no power on earth can touch 370.",['Kashmir'],2019-07-20,obliterate
28,"The uneducated rants of those who want to obliterate 370 are far-fetched, fanciful and devoid of any genuineness,"" National Conference president Farooq Abdullah added.Referring to 35-A, National Conference president Farooq Abdullah National Conference said that 35-A was the fallout of 370 and fiddling with 35-A will upset all the successive amendments to the presidential order of 1954.",['Kashmir'],1954-01-01,obliterate
28,"""If 35-A is annulled, then all the successive presidential orders will get annulled automatically.",['Kashmir'],1954-01-01,obliterate
28,"It was the then Maharaja who gave the state subject rights to the people of state in 1927,"" National Conference president Farooq Abdullah said.National Conference president Farooq Abdullah said powers in New Delhi were frightened of National Conference and the very thought of National Conference returning to power sends jitters through powers in New Delhi.",['Kashmir'],1927-01-01,obliterate
