news_id,article_id,article_title,date_prediction,event,event_type
10,3,King Salman OK's Deployment Of 500 US Troops In Saudi Arabia,"[('2019-07-19', 'Friday')]","The American patronage has featured aerial refueling, which the United States only stopped last year after the Saudi-led coalition grew independent of the United States, as well as logistical and commando support.Tens of thousands of Yemenis have lost Tens of thousands of Yemenis's lives since the onset of the war with Iraq, and Yemen has been pushed close to the edge of outright famine.A year after the war with Iraq was launched, Trump made Trump's maiden visit to the kingdom, announcing more than $100 billion in arms sales to the kingdom.$1.48bn contract for THAAD missile systemMeanwhile, a $1.48 billion contract to build a US-made Patriot missile system for the kingdom has been awarded to Lockheed Martin, the Pentagon said on Friday.In November 2018, Saudi and American officials signed letters of offer and acceptance formalizing terms for the kingdom's purchase of 44 THAAD launchers, missiles and related equipment.In April, a $2.4 billion contract for THAAD interceptor missiles was awarded to Lockheed Martin.",onset
11,3,King Salman OK's Deployment Of 500 US Troops In Saudi Arabia,[],some of THAAD interceptor missiles are set to be delivered to the kingdomthe United States's .The arms exports and deployment of troops come against the backdrop of rising tensions between Iran and the United States in the Persian Gulf.,onset
12,4,Windies A sneak 5-run win over India A despite Axar’s valiant effort,[],Coolidge (Antigua): Axar Patel&#8217;s rearguard heroics went in vain as India A suffered a narrow five-run loss against West Indies A in the fourth unofficial ODI of the five-match series here.,defeat
13,4,Windies A sneak 5-run win over India A despite Axar’s valiant effort,"[('2019-07-19', 'Friday')]","With the five-match series here already in pocket after winning the first three games, India A tasted India A's first defeat in the tour on Friday despite [&#8230;]",defeat
14,5,"Samjhauta Blast: Plea Challenges Acquittal Of Aseemanand, 3 Others","[('2019-07-19', 'Friday'), ('2007-02-18', 'February 18, 2007')]","NEW DELHI —  Pakistan national Rahila Vakil, who claimed that Pakistan national Rahila Vakil, who claimed that her father was one of those killed in the Samjhauta Express blast in 2007's father was one of those killed in the Samjhauta Express blast in 2007, filed a plea before the Punjab and Haryana High Court, challenging the acquittal of Swami Aseemanand and three others in the case.Pakistan national Rahila Vakil, who claimed that her father was one of those killed in the Samjhauta Express blast in 2007 filed a plea before the Punjab and Haryana High Court through Pakistan national Rahila Vakil, who claimed that her father was one of those killed in the Samjhauta Express blast in 2007's counsel Momin Malik.a plea was filed by her counsel Momin Malik on Pakistan national Rahila Vakil, who claimed that her father was one of those killed in the Samjhauta Express blast in 2007's behalf before the high court wherein we have challenged the Punjab and Haryana High Court's verdict acquitting Swami Aseemanand and three othersthree others,"" her counsel Momin Malik said Friday.her counsel Momin Malik said Pakistan national Rahila Vakil, who claimed that her father was one of those killed in the Samjhauta Express blast in 2007 was the daughter of Muhammad Vakil, one of the Pakistanis killed in the Samjhauta Express blast in 2007.Twelve years after the Samjhauta Express blast in 2007, a special court in Panchkula in March this year had acquitted Swami Aseemanand, Lokesh Sharma, Kamal Chauhan and Rajinder Chaudhary in the case.the Samjhauta Express blast in 2007 took place near Panipat in Haryana on February 18, 2007, when the India-Pakistan train was on the India-Pakistan train's way to Attari in Amritsar, the last station on the Indian side of the border.Before giving acquitted, NIA special judge Jagdeep Singh had dismissed the plea filed by Pakistan national Rahila Vakil, who claimed that her father was one of those killed in the Samjhauta Express blast in 2007 for the examination of some eyewitnesses from Haryana.the Punjab and Haryana High Court had ruled that the plea filed by the Pakistani woman for the examination of some eyewitnesses from her country was devoid of any merit.Pakistan national Rahila Vakil, who claimed that her father was one of those killed in the Samjhauta Express blast in 2007 had urged the Punjab and Haryana High Court through her counsel Momin Malik to record Pakistan national Rahila Vakil, who claimed that her father was one of those killed in the Samjhauta Express blast in 2007's statement and examine other Pakistani witnesses in the case.the Samjhauta Express blast in 2007 had ripped apart two coaches of the India-Pakistan train.The Haryana Police registered a case but the probe was handed over to the National Investigation Agency in July 2010.The NIA filed a charge sheet in July 2011 against eight persons for eight persons's alleged role in the Samjhauta Express blast in 2007.Of eight persons, Naba Kumar Sarkar, alias Swami Aseemanand, Lokesh Sharma, Kamal Chauhan and Rajinder Chaudhary Lokesh SharmaKamal Chauhan Rajinder Chaudhary appeared before the Punjab and Haryana High Court and faced trial.Sunil Joshi, the alleged mastermind of the Samjhauta Express blast in 2007, was shot dead near Sunil Joshi, the alleged mastermind of the attack's residence in Madhya Pradesh's Dewas district in December 2007.The three other accused—Ramchandra Kalsangra, Sandeep Dange and Amit—could not be arrested and were declared proclaimed offenders.the National Investigation Agency had charged Naba Kumar Sarkar, alias Swami Aseemanand, Lokesh Sharma, Kamal Chauhan and Rajinder Chaudhary with murder and criminal conspiracy.Naba Kumar Sarkar, alias Swami Aseemanand, Lokesh Sharma, Kamal Chauhan and Rajinder Chaudhary were also booked under the Explosive Substances Act and the Railways Act.There were 299 witnesses in the case and 224 of 299 witnesses were examined.",blast
15,6,"Army, ISI Chiefs Accompany Pakistan PM On US Visit","[('2019-07-20', 'Saturday')]","ISLAMABAD — Pakistan Prime Minister Imran Khan, accompanied by a high ranking delegation that includes Army and Spy agency chiefs, on Saturday began Pakistan Prime Minister Imran Khan's 3-day visit to the United States.Pakistan Prime Minister Imran Khan chose to fly to the United States via Qatar Airways in a bid to ""save taxpayer money,"" said Special Advisor to Pakistan Prime Minister Imran Khan Naeemul Haq.Foreign Minister Shah Mehmood Qureshi confirmed that Chief of the Army Staff Gen Qamar Javed Bajwa will accompany Pakistan Prime Minister Imran Khan.Briefing the Pakistani media on his 3-day visit to the United States, Foreign Minister Shah Mehmood Qureshi said the director general of the Inter-Services Intelligence (ISI) would also come to Washington with Pakistan Prime Minister Imran Khan.",take
16,6,"Army, ISI Chiefs Accompany Pakistan PM On US Visit","[('2019-07-22', 'July 22')]","The two military leaders would also have ""separate meetings with The two military leaders's counterparts"" at the US department of defence, Foreign Minister Shah Mehmood Qureshi added.Apparently, his 3-day visit to the United States will be the first time that Pakistan's top generals will accompany a prime minister to a White House meeting with the US president that will take place on July 22, Dawn reported.Quoting diplomatic sources Dawn reported that Chief of the Army Staff Gen Qamar Javed Bajwa would meet Defence Secretary Patrick M. Shanahan, the new chairman of Joint Chiefs of Staff Gen Mark Milley and other senior officials during Chief of the Army Staff Gen Qamar Javed Bajwa's visit to Pentagon.Commenting on the PM's decision to bring top military officials to Washington, Marvin Weinbaum, a US scholar of South Asian affairs, said: ""Policymakers in Washington have noticed that after a long time, Pakistan's civil and military leaders are on the same page on key issues.Marvin Weinbaum, a US scholar of South Asian affairs said Afghanistan and terrorism were two primary concerns of the Trump administration in South Asian affairs, and the Trump administration in South Asia knew on such issues ""no major decision can be implemented in Pakistan without the Army's support.",take
17,6,"Army, ISI Chiefs Accompany Pakistan PM On US Visit",[],"""FM Qureshi said the PM's decision to bring top military officials to Washington was ""a good omen"" for Pakistan when asked about the PM's decision to bring top military officials to Washingtonthe PM's.",take
18,6,"Army, ISI Chiefs Accompany Pakistan PM On US Visit",[],"Foreign Minister Shah Mehmood Qureshi said: ""You know what was being said before.",take
19,6,"Army, ISI Chiefs Accompany Pakistan PM On US Visit",[],"The political government wants a certain thing, the establishment does not... that there's disconnect between the civilian and the military establishments... that the civilian and the military establishments are not on the same page.",take
20,6,"Army, ISI Chiefs Accompany Pakistan PM On US Visit","[('2019-07-20', 'today')]","Alhamdolillah, there's no disconnect today.",take
21,6,"Army, ISI Chiefs Accompany Pakistan PM On US Visit",[],"Both civil and military leaders are focusing on Pakistan's interests, on the challenges before Pakistan,"" Foreign Minister Shah Mehmood Qureshi added.",take
22,6,"Army, ISI Chiefs Accompany Pakistan PM On US Visit",[],"""We are moving ahead.",take
23,6,"Army, ISI Chiefs Accompany Pakistan PM On US Visit",[],Pakistan are grateful to Pakistan's forces for such a responsible approach.,take
24,6,"Army, ISI Chiefs Accompany Pakistan PM On US Visit","[('2019-07-15', 'Monday morning')]","""Diplomatic sources told Dawn that Pakistan Prime Minister Imran Khan and Pakistan Prime Minister Imran Khan's team would spend almost three hours at the White House, meeting President Trump and President Trump's aides.Foreign Minister Shah Mehmood Qureshi said Pakistan Prime Minister Imran Khan would arrive at the White House on Monday morning and after the book signing ceremony, Pakistan Prime Minister Imran Khan would attend two sessions, a small group meeting and an extended meeting.",take
25,6,"Army, ISI Chiefs Accompany Pakistan PM On US Visit",[],a small group meeting would be in the Oval Office and an extended meeting in the cabinet room.,take
26,6,"Army, ISI Chiefs Accompany Pakistan PM On US Visit",[],Pakistan Prime Minister Imran Khan would also have a one-on-one meeting with President Trump.,take
27,6,"Army, ISI Chiefs Accompany Pakistan PM On US Visit","[('2019-07-20', 'Saturday afternoon'), ('2019-07-21', 'Sunday')]","President Trump would accompany Pakistan Prime Minister Imran Khan on a the White House tour that would give them more time ""to mingle and chat"", Foreign Minister Shah Mehmood Qureshi said.Pakistan Prime Minister Imran Khan arrives in Washington on Saturday afternoon on a commercial flight and would stay at the ambassador's residence in Washington's diplomatic enclave.On Sunday, Pakistan Prime Minister Imran Khan would meet IMF chief David Lipton and IMF chief David Lipton's delegation and would later have a similar meeting with the World Bank president.",take
28,6,"Army, ISI Chiefs Accompany Pakistan PM On US Visit",[],"Later in the evening, Pakistan Prime Minister Imran Khan would attend a community event at Washington's Capital One Arena.",take
29,6,"Army, ISI Chiefs Accompany Pakistan PM On US Visit",[],"""We are expecting between 15,000 and 20,000 people,"" said chief organizer of a community event Dr Abdullah Riar.Pakistan Prime Minister Imran Khan's other engagements include a meeting of Pakistani-Americans investors, media interviews, addressing the US-Pakistani Business Council and a dinner meeting with selected leaders of the United States's corporate sector.",take
30,6,"Army, ISI Chiefs Accompany Pakistan PM On US Visit",[],"""This summit-level interaction is happening after a five-year gap.",take
31,6,"Army, ISI Chiefs Accompany Pakistan PM On US Visit",[],"In a five-year gap, bilateral relations got from bad to worse,"" said Foreign Minister Shah Mehmood Qureshi, crediting Pakistan Prime Minister Imran Khan for halting got.",take
32,7,Resolution of Kashmir issue on cards: Defence Minister Rajnath Singh,"[('2019-07-20', 'Saturday')]",Srinagar: Defence Minister of India Rajnath Singh Saturday said that resolution of Kashmir issue is on the cards and that “no power on the earth can stop resolution of Kashmir issue”.,take
33,7,Resolution of Kashmir issue on cards: Defence Minister Rajnath Singh,[],"&#8220;Resolution of Kashmir issue will take place soon,&#8221; Defence Minister of India Rajnath Singh said before inaugurating a 1,000 meters long bridge over river Ujh in border Kathua district in Jammu and [&#8230;]",take
34,8,419 KP Families Yearn to Resettle In Muslim Neighbourhoods,[],JAMMU — A Kashmiri Pandit delegation pursuing return of 419 families to the Valley has demanded 419 families's settlement in six districts across Kashmir.,down
35,8,419 KP Families Yearn to Resettle In Muslim Neighbourhoods,[],"A Kashmiri Pandit delegation pursuing return of 419 families to the Valley met Union Minister of State for Home G K Reddy and also the BJP’s national vice-president and incharge Kashmir affairs, Avinash Rai Khanna.",down
36,8,419 KP Families Yearn to Resettle In Muslim Neighbourhoods,[],"A Kashmiri Pandit delegation pursuing return of 419 families to the Valley submitted a detailed memorandum to Union Minister of State for Home G K Reddy and also the BJP’s national vice-president and incharge Kashmir affairs, Avinash Rai Khanna the BJP’s national vice-president and incharge Kashmir affairs, Avinash Rai Khanna with a primary focus on allowing 419 families to settle down in six districts of Kashmir instead of in proposed separate colonies.",down
37,8,419 KP Families Yearn to Resettle In Muslim Neighbourhoods,[],“A Kashmiri Pandit delegation pursuing return of 419 families to the Valley met MoS Home in New Delhi and discussed A Kashmiri Pandit delegation pursuing return of 419 families to the Valley's proposal for the safe return to Kashmir.,down
38,8,419 KP Families Yearn to Resettle In Muslim Neighbourhoods,[],"The meeting lasted for almost an hour and A Kashmiri Pandit delegation pursuing return of 419 families to the Valley told MoS Home that Kashmiri Pandits yearn to return to Kashmiri Pandits's homeland after almost three decades,” said Kashmiri Pandit activist Satish Mahaldar said.",down
39,8,419 KP Families Yearn to Resettle In Muslim Neighbourhoods,[],"“A Kashmiri Pandit delegation pursuing return of 419 families to the Valley also apprised MoS Home about A Kashmiri Pandit delegation pursuing return of 419 families to the Valley's detailed meetings with the Hurriyat Conference (M) chairman Mirwaiz Umar Farooq and the Hurriyat Conference (M) chairman Mirwaiz Umar Farooq's support to facilitate smooth return of 419 families,” Kashmiri Pandit activist Satish Mahaldar added.Kashmiri Pandit activist Satish MahaldarNew Delhi , said that A Kashmiri Pandit delegation pursuing return of 419 families to the Valley conveyed to MoS Home that 419 families are willing to return to Kashmir and live again alongside 419 families's Muslim brethren.",down
40,8,419 KP Families Yearn to Resettle In Muslim Neighbourhoods,[],"Kashmiri Pandit activist Satish Mahaldar said A Kashmiri Pandit delegation pursuing return of 419 families to the Valley “opposed separate townships and colonies as part of the return package.”“We made it clear that Kashmiri Pandits are not ready to live in separate colonies,” Kashmiri Pandit activist Satish Mahaldar said.",down
41,8,419 KP Families Yearn to Resettle In Muslim Neighbourhoods,[],"Kashmiri Pandit activist Satish Mahaldar said in a detailed memorandum it has been made clear that 419 families would like to settle down in districts of Kashmir that includes Srinagar, Anantnag, Baramulla,  Budgam, Kupwara and Ganderbal.",down
42,8,419 KP Families Yearn to Resettle In Muslim Neighbourhoods,[],“A Kashmiri Pandit delegation pursuing return of 419 families to the Valley got a very positive response from MoS Home.,down
43,8,419 KP Families Yearn to Resettle In Muslim Neighbourhoods,[],MoS Home assured A Kashmiri Pandit delegation pursuing return of 419 families to the Valley that Government of India is committed to the return and rehabilitation of 419 families and Government of India is soon going to take steps in this direction.,down
44,8,419 KP Families Yearn to Resettle In Muslim Neighbourhoods,[],MoS Home also assured A Kashmiri Pandit delegation pursuing return of 419 families to the Valley that security concerns will also be taken care of.”A source in the BJP’s said that Government of India has agreed in principle to work on the return and rehabilitation of KPs and to allow 419 families to settle down in the places identified by A Kashmiri Pandit delegation pursuing return of 419 families to the Valley in six districts across Kashmir.,down
45,8,419 KP Families Yearn to Resettle In Muslim Neighbourhoods,[],"“the BJP’s will further study the pros and cons before taking the final call on the return and rehabilitation of KPs,” ”A source in the MHA said.A Kashmiri Pandit delegation pursuing return of 419 families to the Valley has also submitted the similar memorandums to the BJP’s's national vice president Avinash Rai Khanna and Government of India's interlocutor on Kashmir Dineshwar Sharma.",down
46,8,419 KP Families Yearn to Resettle In Muslim Neighbourhoods,[],“In A Kashmiri Pandit delegation pursuing return of 419 families to the Valley's memorandum to BJP’s national vice president Avinash Rai Khanna A Kashmiri Pandit delegation pursuing return of 419 families to the Valley have advocated for our settlement in different districts to ensure that age-old composite culture is revived.,down
47,8,419 KP Families Yearn to Resettle In Muslim Neighbourhoods,[],"BJP’s national vice president Avinash Rai Khanna told A Kashmiri Pandit delegation pursuing return of 419 families to the Valley that BJP’s national vice president Avinash Rai Khanna will discuss the return and rehabilitation of KPs with the party leadership,” Kashmiri Pandit activist Satish Mahaldar said.It may be recalled that A Kashmiri Pandit delegation pursuing return of 419 families to the Valley KP had earlier met the Hurriyat Conference (M) chairman Mirwaiz Umar Farooq in Srinagar and discussed in detail the return and rehabilitation of KPs.",down
48,8,419 KP Families Yearn to Resettle In Muslim Neighbourhoods,[],the Hurriyat Conference (M) chairman Mirwaiz Umar Farooq has constituted a committee comprising Hurriyat Conference (M) members that is working closely with A Kashmiri Pandit delegation pursuing return of 419 families to the Valley so that ways and means for the smooth return of 419 families are reached at.,down
49,9,Islamia College organizes run for women,[],"The Cultural Committee, Islamia College of Science and Commerce organised a theme based ""Run for a Healthy Culture"" from Nehru Park to SKICC at 6 in the morning.",off
50,9,Islamia College organizes run for women,[],"Principal of Islamia College of Science and Commerce, Prof. Dr Sheikh Ajaz Bashir flagged off a theme based ""Run for a Healthy Culture"" and also accompanied the participants to boost the participants's morale.",off
51,9,Islamia College organizes run for women,[],"a theme based ""Run for a Healthy Culture"" was organised for girls only, to emphasize on importance of health for women folk.",off
52,10,Police foils militant bid to snatch weapons,"[('2019-07-19', 'Friday evening')]",Militants on Friday evening made an abortive bid to snatch weapons from police at Aamnoo area of Qazigund in south Kashmir’s Kulgam district.,snatch
53,10,Police foils militant bid to snatch weapons,[],"As per reports, militants fired upon a party of special operations group (SOG) while a party of special operations group (SOG) were at a petrol filling station at Aamnoo area of Qazigund in south Kashmir’s Kulgam district.",snatch
54,10,Police foils militant bid to snatch weapons,[],"fired was retaliated by a party of special operations group (SOG) special operations group (SOG) and in the meantime, reinforcements of army’s 9 RR and police reached the spot and launched the searches in Aamnoo area of Qazigund in south Kashmir’s Kulgam district.",snatch
55,11,Terror module case: NIA conducts searches across Tamil Nadu,"[('2019-07-20', 'Saturday')]","Chennai: The National Investigation Agency (NIA) is conducting searches at various locations in Tamil Nadu as part of The National Investigation Agency (NIA)'s probe into the &#8216;Ansarullah&#8217; terror module case, police said Saturday.",terror
56,11,Terror module case: NIA conducts searches across Tamil Nadu,[],"searches at various locations in Tamil Nadu are being carried out in Chennai, Madurai, Tirunelveli and Ramanathapuram district, police said without divulging further details.",terror
57,11,Terror module case: NIA conducts searches across Tamil Nadu,[],searches at various locations in Tamil Nadu come a day after a special [&#8230;],terror
58,12,"Earthquake jolts Arunachal again, tremors felt in Assam","[('2019-07-20', 'Saturday')]","Itanagar/Guwahati: An earthquake of 5.5 magnitude hit Arunachal Pradesh Saturday, a day after three quakes shook Arunachal Pradesh within minutes of each other, the MeT Department said.",hit
59,12,"Earthquake jolts Arunachal again, tremors felt in Assam",[],"The latest quake, tremors of which were felt in Assam, occurred at 4.24 am at a depth of 10 km with the epicentre in East Kameng district of [&#8230;]",hit
60,13,Mehbooba Dissolves PDP's Political Affairs Committee,"[('2019-07-20', 'Saturday')]","SRINAGAR — Peoples Democratic Party (PDP) president Mehbooba Mufti Saturday dissolved SRINAGAR — Peoples Democratic Party (PDP)'s top decision-making Political Affairs Committee (PAC).The move comes less than a week ahead of SRINAGAR — Peoples Democratic Party (PDP)'s 20th foundation day anniversary scheduled to be observed on SRINAGAR — Peoples Democratic Party (PDP) president Mehbooba Mufti has dissolved the party's top decision-making Political Affairs Committee (PAC).The move and a new body will be reconstituted in near future,"" a SRINAGAR — Peoples Democratic Party (PDP) spokesman said.While no reasons were assigned for dissolved, sources in SRINAGAR — Peoples Democratic Party (PDP) said dissolved was done in the wake of number of senior party leaders including several MLAs and former ministers quitting SRINAGAR — Peoples Democratic Party (PDP).Those who have left SRINAGAR — Peoples Democratic Party (PDP) include Mohammad Khalil Bandh, Altaf Bukhari, Haseeb Drabu, Imran Ansari, Abid Ansari and Abbas Wani (all former MLAs).",move
61,13,Mehbooba Dissolves PDP's Political Affairs Committee,[],(PTI),move
62,14,Three of family among four killed as SUV falls into gorge in Ramban,"[('2019-07-20', 'Saturday')]","Banihal/Jammu: Four persons including three members of a family were killed and two others critically injured on Saturday after Four persons including three members of a family's SUV skidded off the road and plunged into a 500-ft-deep gorge in Ramban district of Jammu and Kashmir, police said.",off
63,14,Three of family among four killed as SUV falls into gorge in Ramban,[],The accident occurred near Binjoni area of Senabati when Four persons including three members of a family were returning from Sharvadhar [&#8230;],off
64,15,3 Of Family Killed in Highway Mishap,"[('2019-07-20', 'Saturday')]","BANIHAL — Four persons including three members of a family were killed and two others critically injured on Saturday after Four persons including three members of a family's SUV skidded off the road and plunged into a 500-ft-deep gorge in Ramban district of Jammu and Kashmir, police said.The accident occurred near Binjoni area of Senabati when Four persons including three members of a family were returning from Sharvadhar Yatra (Pogal Paristan), a police official said.While Surjeet Singh (50) and Surjeet Singh (50)'s wife Koshalia Devi died on the spot, Surjeet Singh (50) and his wife Koshalia Devi's daughter Neelam Devi (20) and another person succumbed to injuries in a hospital, a police official said.The condition of two others is stated to be critical and two others are undergoing treatment at a hospital, a police official added.A mud house also suffered extensive damages after their SUV hit A mud house while rolling down, but the inmates escaped unhurt, a police official said.",off
65,15,3 Of Family Killed in Highway Mishap,[],"Meanwhile, a 19-year-old scooty rider was killed after an oil tanker hit a 19-year-old scooty rider in South Kashmir’s Shopian district.Official sources said that an oil tanker hit scooty (JK13D -3510) near Sindoo Shirmal village of South Kashmir’s Shopian district, leaving a 19-year-old scooty rider critically Injured.a 19-year-old scooty rider was shifted to district hospital Shopian for treatment where a 19-year-old scooty rider succumbed to a 19-year-old scooty rider's Injuries, Official sources said.a 19-year-old scooty rider has been identified as Moonis Shabir son of Shabir Ahmad Bhat of Gaberpora Hawal of Pulwama district.A Police official confirmed the Incident and said that a case has been registered and investigation started.",off
66,16,DM’s Statement Evokes Hope for Forward Movement on Kashmir,"[('2019-07-20', 'Saturday')]","SRINAGAR — On his visit to Kargil War Memorial in Drass sector on Saturday, hisonce again  said that resolution of Kashmir issue is on the cards and that “no power on the earth can stop resolution of Kashmir issue”.",take
67,16,DM’s Statement Evokes Hope for Forward Movement on Kashmir,[],"resolution of Kashmir issue, his added,  is bound to take place and that his is saying it with ""full responsibility"".his slammed Hurriyat for not talking to New Delhi and  recalled that how Hurriyat leaders did not open Hurriyat leaders's doors for visiting members of the all-party delegation once led by his to the Valley.",take
68,16,DM’s Statement Evokes Hope for Forward Movement on Kashmir,[],his's statement follows a series of similar noises made by senior BJP leaders including the home minister Amit Shah.,take
69,16,DM’s Statement Evokes Hope for Forward Movement on Kashmir,[],senior BJP leaders including the home minister Amit Shah have been talking about resolving Kashmir by  executing BJP's long-standing ideological agenda on J&K.,take
70,16,DM’s Statement Evokes Hope for Forward Movement on Kashmir,[],The Prime Minister Narendra Modi The Prime Minister Narendra Modi himself has often made a case for the removal of the Article 370 and 35A which give special cinstitutional status to Kashmir.,take
71,16,DM’s Statement Evokes Hope for Forward Movement on Kashmir,[],"According to The Prime Minister Narendra Modi himself the Article 370 and 35A which give special cinstitutional status to Kashmir have done ""maximum damage"" to Kashmir as no investors wanted to go to Kashmir as no investors couldn't buy land.",take
72,16,DM’s Statement Evokes Hope for Forward Movement on Kashmir,[],"Ironically, the PM at the same time has also defended the former Prime Minister Atal Bihari Vajpayee slogan of 'Insaniyat, Jamhooriyat and Insaniyat'.the former Prime Minister Atal Bihari Vajpayee's call for resolution of Kashmir ""within the ambit of Insaniyat"" was about working for a consensus-based resolution of Kashmir with Pakistan on board.",take
73,16,DM’s Statement Evokes Hope for Forward Movement on Kashmir,[],a consensus-based resolution of Kashmir with Pakistan on board was also about willingness to talk to separatists in Kashmir  outside the framework of the Constitution.,take
74,16,DM’s Statement Evokes Hope for Forward Movement on Kashmir,[],"But in BJP's five years in power, BJP has desisted from engaging with Kashmiri separatists or Pakistan except on BJP's  terms.",take
75,16,DM’s Statement Evokes Hope for Forward Movement on Kashmir,[],"In fact,  BJP's accent is now more on removal of the Article 370 and 35A which give special cinstitutional status to Kashmir.",take
76,16,DM’s Statement Evokes Hope for Forward Movement on Kashmir,[],"Article 35A defines permanent residents of Kashmir, restricts employment  to permanent residents and grants state legislature power with regard to settlements in Kashmir.",take
77,16,DM’s Statement Evokes Hope for Forward Movement on Kashmir,[],"Now if Article 35A goes, goes means the protection available to permanent residents will go and the protection available to permanent residents will also go in case of employment and acquisition of property and scholarships.This has created some anxiety in Kashmir about BJP's policy on Kashmir.",take
78,16,DM’s Statement Evokes Hope for Forward Movement on Kashmir,[],"the home minister Amit Shah has only further made it clear  that Article 370 will be withdrawn from Jammu and Kashmir.If anything, BJP's Kashmir policy is thus destined to add to the deep sense of grievance  in Kashmir.",take
79,16,DM’s Statement Evokes Hope for Forward Movement on Kashmir,[],In recent years Kashmir has already witnessed much turmoil over the attempts to withdraw Kashmir's special position under the Constitution.,take
80,16,DM’s Statement Evokes Hope for Forward Movement on Kashmir,[],"But as Pakistan Prime Minister Imran Khan too has mentioned in Pakistan Prime Minister Imran Khan's statements, it is the PM Modi too who is seen as the best hope for a Kashmir resolution.",take
81,16,DM’s Statement Evokes Hope for Forward Movement on Kashmir,[],"And Pakistan Prime Minister Imran Khan is not alone in this opinion, a significant section of public opinion in Kashmir also shares this opinion.",take
82,16,DM’s Statement Evokes Hope for Forward Movement on Kashmir,[],And there is a reason for shares.,take
83,16,DM’s Statement Evokes Hope for Forward Movement on Kashmir,[],The previous BJP government under the former Prime Minister Atal Bihari Vajpayee is credited with initiating one of the most promising dialogue processes with Pakistan.,take
84,16,DM’s Statement Evokes Hope for Forward Movement on Kashmir,[],And such talks happened despite Kargil war and despite nuclear explosions by the two countries.,take
85,16,DM’s Statement Evokes Hope for Forward Movement on Kashmir,[],But would the PM Modi adopt the former Prime Minister Atal Bihari Vajpayee's Kashmir mantra both in letter and spirit now that the former Prime Minister Atal Bihari Vajpayee has returned to power with a stronger mandate?,take
86,16,DM’s Statement Evokes Hope for Forward Movement on Kashmir,[],There's no telling adopt would happen.,take
