article_id,article_date,event,stanford_location,allen_location,stanford_date,heidal_date,best_location,best_date
333,2019-07-22T19:05:36.000Z,Centre gives environment clearance for expansion of runway at Jammu airport.,,['Jammu'],,[],,
333,2019-07-22T19:05:36.000Z,"New Delhi, Jul 22: The Centre has given environment clearance for expansion of runway at Jammu airportJammu airport , a senior government official said Monday.",,,2019-07-22,"[('2019-07-22', 'Jul 22'), ('2019-07-22', 'Monday')]",,
334,2019-07-22T19:06:19.000Z,"Jammu, Jul 22: Security forces on Monday claimed to have busted a militant hideout in Doda and recovered cache of arms.",,,2019-07-22,"[('2019-07-22', 'Jul 22'), ('2019-07-22', 'Monday')]",,
340,2019-07-22T19:08:12.000Z,Soldier killed in cross-LoC fire in Rajouri.,['Rajouri'],['Rajouri'],,[],,
340,2019-07-22T19:08:12.000Z,"Jammu, Jul 22: An Army soldier was killed Monday as Pakistani troops targeted forward posts and villages with mortar shells and small arms along the Line of Control (LoC) in Rajouri, officials said.",['Rajouri'],,2019-07-22,"[('2019-07-22', 'Jul 22'), ('2019-07-22', 'Monday')]",,
341,2019-07-22T19:09:58.000Z,"Jammu, Jul 22: Alleging that ""politics of communalisation"" has become a ""fact of life"" in Jammu and Kashmir, the CPI(M) on Monday batted for inter-regional dialogue and autonomy in the state.",['Kashmir'],,2019-07-22,"[('2019-07-22', 'Jul 22'), ('2019-07-22', 'Monday')]",,
347,2019-07-22T19:12:50.000Z,Will try to make J&K a corruption free state: Gov Malik.,,['J&K'],,[],,
370,2019-07-22T19:39:59.000Z,"‘Several PC, PDP workers from Zadibal join NC’",['Zadibal'],['Zadibal'],,[],,
372,2019-07-22T19:41:20.000Z,Village revenue maps to be available online from August,,,2019-08-01,[],,
379,2019-07-22T19:58:16.000Z,Ministry of External Affairs (MEA) on Monday rejected the claim of United States President Donald Trump that Prime Minister Narendra Modi had asked United States President Donald Trump to mediate on Kashmir.,['Kashmir'],['United States'],2019-07-22,"[('2019-07-22', 'Monday')]",,
380,2019-07-22T19:59:23.000Z,Jammu and Kashmir Governor Satya Pal Malik on Monday said that Kashmir has broken all records of corruption in the country and Jammu won’t leave Kashmir till Jammu exposes all politicians involved in “looting state coffers.”,['Kashmir'],"['Jammu', 'Jammu and Kashmir']",2019-07-22,"[('2019-07-22', 'Monday')]",,
381,2019-07-22T19:59:53.000Z,US President Donald Trump on Monday offered to be the “mediator” between India and Pakistan on the Kashmir issue as US President Donald Trump met Prime Minister Imran Khan at the White House where the two leaders discussed a host of issues.,"['Kashmir', 'White House']","['India', 'Pakistan', 'US']",2019-07-22,"[('2019-07-22', 'Monday')]",,
382,2019-07-22T20:02:13.000Z,Also Read | BSF man shoots self dead in Singhpora area of north Kashmir,"['Kashmir', 'Singhpora']",,,[],,
392,2019-07-22T20:07:16.000Z,"In major rejig in the Army, Eastern Army Commander Lt Gen Manoj Mukund Naravane has been appointed the next vice-chief of the Army, official sources said on Monday.",,,2019-07-22,"[('2019-07-22', 'Monday')]",,
395,2019-07-22T20:09:35.000Z,"Presenting a report card after completing 50 days in office, the Modi government on Monday said the Modi government is already “walking the talk” on the promise of rapid development and the pace of reform in the Modi government's second term has increased as compared with the previous tenure.",,,2019-07-22,"[('2019-07-22', 'Monday')]",,
397,2019-07-22T20:11:38.000Z,Washington: US President Donald Trump on Monday offered to mediate on the Kashmir issue between India and Pakistan during US President Donald Trump's meeting,['Kashmir'],"['India', 'Pakistan']",2019-07-22,"[('2019-07-22', 'Monday')]",,
398,2019-07-22T20:14:58.000Z,A woman and A woman's new born baby died soon after the delivery allegedly due to non-availability of doctors at a local hospital in Reasi on Monday.,['Reasi'],['Reasi'],2019-07-22,"[('2019-07-22', 'Monday')]",,
399,2019-07-22T20:16:55.000Z,A meeting of civil society was held here at Ramsu on Monday wherein the prominent citizens of the Ramban town discussed the measures to control the recurring road accidents in the district.,['Ramsu'],,2019-07-22,"[('2019-07-22', 'Monday')]",,
400,2019-07-22T20:19:01.000Z,Jammu and Kashmir Police in Ramban district claimed on Monday that Jammu and Kashmir Police in Ramban district has arrested two bootleggers and recovered 42 bottles of liquor from two bootleggers's possession.,['Kashmir'],,2019-07-22,"[('2019-07-22', 'Monday')]",,
401,2019-07-22T20:20:29.000Z,"Two younger brothers of Rifleman Aurangzeb, who was abducted and killed by militants in Kashmir last year, have joined the Indian Army.",['Kashmir'],,2019-07-22,[],,
403,2019-07-23T01:30:00.000Z,"Over 3,000 yatris left the Bhagwati Nagar base camp here for the Amarnath cave in south Kashmir, officials said.","['Kashmir', 'Amarnath', 'Bhagwati']","['Kashmir', 'Amarnath', 'Bhagwati Nagar']",,[],,
403,2019-07-23T01:30:00.000Z,"Over 3,000 yatris was the 21st batch of the yatris, taking the total number of yatris who left the Bhagwati Nagar base camp here for the yatra to 99,405 so far, officials said.",['Bhagwati'],['Bhagwati Nagar'],,[],,
408,2019-07-23T01:30:00.000Z,Police have arrested a drug peddler in Bandipora and seized contraband substance from a drug peddler's possession.,['Bandipora'],['Bandipora'],,[],,
420,2019-07-23T01:30:00.000Z,"Welcomes PC, PDP workers from Zadibal into NC fold Jammu and Kashmir National Conference leader and political advisor to party’s vice president Tanvir Sadiq on Monday said the successive governments after 2015 failed to give direction to the Srinagar city’s development.",['Zadibal'],"['Jammu', 'Zadibal', 'Srinagar', 'NC']",2015-01-01,"[('2019-07-22', 'Monday')]",,
422,2019-07-23T01:30:00.000Z,"In major rejig in the Army, Eastern Army Commander Lt Gen Manoj Mukund Naravane has been appointed the next vice-chief of the Army, official sources said on Monday.",,,2019-07-23,"[('2019-07-22', 'Monday')]",,
422,2019-07-23T01:30:00.000Z,Eastern Army Commander Lt Gen Manoj Mukund Naravane succeeds Lt Gen D Anbu who retires on August 31.,,,2019-08-31,"[('2019-08-31', 'August 31')]",,
423,2019-07-23T01:30:00.000Z,"The launch of Chandrayaan-2 illustrates the prowess of Indian scientists and the determination of 130 crore countrymen to scale new frontiers of science, Prime Minister Narendra Modi said on Monday.",,,2019-07-23,"[('2019-07-22', 'Monday')]",,
423,2019-07-23T01:30:00.000Z,"In a series of tweets, Prime Minister Narendra Modi said every Indian is immensely proud today.",,,2019-07-23,"[('2019-07-23', 'today')]",,
427,2019-07-23T01:30:00.000Z,"Company says matter under investigation, staff suspended The female employees of leading Airline, IndiGo, have complained to the top brass that The female employees of leading Airline, IndiGo were facing sexual harassment by the senior staff at the Srinagar airport prompting Company to start an internal inquiry.",,['Srinagar'],,[],,
437,2019-07-23T01:30:00.000Z,"The High Court on Monday rejected the plea challenging the detention orders of Ameer-e- Jamaat-e-Islaami, Jammu Kashmir, Dr Abdul Hameed Ganai.",['Kashmir'],"['Ameer - e- Jamaat - e - Islaami', 'Jammu Kashmir']",2019-07-23,"[('2019-07-22', 'Monday')]",,
437,2019-07-23T01:30:00.000Z,"The High Court dismissed the plea challenging the detention orders of Ameer-e- Jamaat-e-Islaami, Jammu Kashmir, Dr Abdul Hameed Ganai on the grounds the plea challenging the detention orders of Ameer-e- Jamaat-e-Islaami, Jammu Kashmir, Dr Abdul Hameed Ganai is without any merit.",['Kashmir'],"['Ameer - e- Jamaat - e - Islaami', 'Jammu Kashmir', 'Ameer - e- Jamaat - e - Islaami , Jammu Kashmir']",,[],,
441,2019-07-23T01:30:00.000Z,"Inaugurates fashion designing store in Srinagar Former Finance Minister, Syed Mohammad Altaf Bukhari on Monday urged the educated unemployed youth of Kashmir to be self-employed.","['Kashmir', 'Former']",['Srinagar'],2019-07-23,"[('2019-07-22', 'Monday')]",,
445,2019-07-23T01:30:00.000Z,"420km high-altitude cycling expedition is a record: JKCA Adil Teli, a 21 year old cyclist from Narbal, became the first Kashmiri to complete a non-stop cycling tour from Srinagar to Ladakh covering 420 kms high-altitude distance.","['Ladakh', 'Narbal']",,,[],,
457,2019-07-23T05:21:10.000Z,STATE TIMES NEWS SRINAGAR: An Amarnath pilgrim died on Monday at Baltal.,['Baltal'],"['SRINAGAR', 'Amarnath', 'Baltal']",2019-07-23,"[('2019-07-22', 'Monday')]",,
459,2019-07-23T05:21:47.000Z,STATE TIMES NEWS JAMMU: A youth consumed poisonous substance in A youth's house at Gharota on Monday.,['Gharota'],,2019-07-23,"[('2019-07-22', 'Monday')]",,
474,2019-07-23T05:48:28.000Z,Sleuths of National Investigation Agency (NIA) on Tuesday carried out raids at the premises of two traders involved in cross Line of control (LoC) trade.,,,2019-07-23,"[('2019-07-23', 'Tuesday')]",,
474,2019-07-23T05:48:28.000Z,raids at the premises of two traders involved in cross Line of control (LoC) trade were carried in Pulwama and Srinagar districts.,,"['Pulwama', 'Srinagar']",,[],,
489,2019-07-23T07:14:16.000Z,The Egyptian Ministry of Antiquities has said The Egyptian Ministry of Antiquities has started the sterilization work of the coffin of ancient Egyptian King Tutankhamun in order to restore the coffin of ancient Egyptian King Tutankhamun for the first time since the coffin of ancient Egyptian King Tutankhamun was discovered in 1922.,,,1922-01-01,[],,
491,2019-07-23T07:21:02.000Z,"Lok Sabha on Tuesday witnessed an uproar over US President Donald Trump’s remarks on Kashmir mediation, with Congress demanding a reply from Prime Minister Narendra Modi on an uproar over US President Donald Trump’s remarks on Kashmir mediation.",['Kashmir'],['US'],2019-07-23,"[('2019-07-23', 'Tuesday')]",,
493,2019-07-23T07:22:26.000Z,"Srinagar, July 23: National Investigation Agency (NIA) on Tuesday carried separate raids at Parimpora Fruit Mandi here and at the residence of a business man dealing with cross-LoC trade.",['Parimpora Fruit'],,2019-07-23,"[('2019-07-23', 'July 23'), ('2019-07-23', 'Tuesday')]",,
500,2019-07-23T07:35:48.000Z,National Conference has strongly condemned the recent statement of the Governor of Jammu and Kashmir Satya Pal Malik.,,['Jammu and Kashmir'],,[],,
502,2019-07-23T07:38:04.000Z,BJP Kashmir Displaced District appeal community to come forward and join the party to strengthen the party's foothold in Kashmir,['Kashmir'],,,[],,
512,2019-07-23T08:49:00.000Z,"Dr Anis Shahmiri, son of former Managing Director JKPDC Javid Shahmiri, and nephew of Iqbal Shahmiri, former Chief Engineer, passed away in Florida, USA yesterday morning.",,"['Florida , USA']",2019-07-23,"[('2019-07-22', 'yesterday morning')]",,
513,2019-07-23T09:04:00.000Z,Two persons were injured after being attacked by stray dogs in Surankote area of Poonch district of Jammu and Kashmir on Tuesday.,"['Poonch', 'Kashmir', 'Surankote']",,2019-07-23,"[('2019-07-23', 'Tuesday')]",,
520,2019-07-23T09:32:42.000Z,Two injured in attacks by stray dogs in Poonch.,['Poonch'],['Poonch'],,[],,
520,2019-07-23T09:32:42.000Z,"Poonch, July 23: Two were injured after attacked by stray dogs in Surankote area of Poonch district on Tuesday.","['Surankote', 'Poonch']",,2019-07-23,"[('2019-07-23', 'July 23'), ('2019-07-23', 'Tuesday')]",,
524,2019-07-23T09:54:39.000Z,"Also Read | Amid protests, Sopur man laid to rest",,['Sopur'],,[],,
525,2019-07-23T10:04:26.000Z,Trump accepts Imran Khan's invitation to visit Pakistan: Qureshi.,,['Pakistan'],,[],,
525,2019-07-23T10:04:26.000Z,Washington: Pakistan on Tuesday said Trump has accepted Imran Khan's invitation to visit Pakistan.,,"['Washington', 'Pakistan']",2019-07-23,"[('2019-07-23', 'Tuesday')]",,
526,2019-07-23T10:06:07.000Z,The armies of India and Pakistan on Tuesday fired at The armies of India and Pakistan's positions along the Line of Control (LoC) in Poonch district of Jammu and Kashmir.,"['Kashmir', 'Poonch']",,2019-07-23,"[('2019-07-23', 'Tuesday')]",,
528,2019-07-23T10:07:20.000Z,Man found dead in Bijbehara.,['Bijbehara'],['Bijbehara'],,[],,
528,2019-07-23T10:07:20.000Z,"Bijbehara, July 23: A male body was on Tuesday recovered from Wopzan orchards in Bijbehara area of South Kashmir’s Anantnag district.","['Wopzan', 'Bijbehara', 'South Kashmir']",,2019-07-23,"[('2019-07-23', 'July 23'), ('2019-07-23', 'Tuesday')]",,
529,2019-07-23T10:17:44.000Z,3 SPOs arrested for carrying 75 gram heroin in Jammu.,,['Jammu'],,[],,
529,2019-07-23T10:17:44.000Z,"Jammu, Jul 23: 3 SPOs were arrested on the outskirts of Jammu for allegedly possessing 75 gram heroin, police said on Tuesday.",,,2019-07-23,"[('2019-07-23', 'Jul 23'), ('2019-07-23', 'Tuesday')]",,
531,2019-07-23T10:27:17.000Z,Tangmarg: Anganwadi workers and helpers on Tuesday staged a protest against the recent decision of SAC to disburse Anganwadi workers and helpers's honorariums through Gram Panchayats.,,,2019-07-23,"[('2019-07-23', 'Tuesday')]",,
534,2019-07-23T10:33:50.000Z,"The University Grants Commission (UGC) has released a list of 23 “self-styled, unrecognised” universities, eight of which are in Uttar Pradesh.",['Uttar Pradesh'],['Uttar Pradesh'],,[],,
541,2019-07-23T11:13:23.000Z,"District Magistrate (DM) Kishtwar, Angrez Singh Rana on Tuesday ordered restrictions under Section 144 CrPC on political activities after Friday prayers in Kishtwar.",,,2019-07-23,"[('2019-07-23', 'Tuesday'), ('2019-07-19', 'Friday')]",,
565,2019-07-23T13:26:25.000Z,Police in Srinagar on Tuesday said Police in Srinagar have arrested three Hizb militants who were involved in firing on a special police officer and grenade throwing incidents.,,,2019-07-23,"[('2019-07-23', 'Tuesday')]",,
580,2019-07-23T15:15:00.000Z,Body of a farmer was recovered on Tuesday from Wopzan orchard in Bijbehara area of South Kashmir’s Anantnag district.,"['Wopzan', 'Bijbehara', 'South Kashmir']","['Wopzan', 'Anantnag']",2019-07-23,"[('2019-07-23', 'Tuesday')]",,
582,2019-07-23T15:29:00.000Z,"Minister of State for Home G Kishan Reddy Tuesday said that Article 170 of the Constitution of India, which deals with delimitation of constituencies for state legislative assemblies, has not been extended to Jammu and Kashmir.",['Kashmir'],['Jammu and Kashmir'],2019-07-23,"[('2019-07-23', 'Tuesday')]",,
591,2019-07-23T17:01:00.000Z,"Three special police officers were arrested on the outskirts of Jammu city for allegedly possessing 75 grams of heroin, police said on Tuesday.",,['Jammu city'],2019-07-23,"[('2019-07-23', 'Tuesday')]",,
594,2019-07-23T17:41:00.000Z,"Lok Sabha on Tuesday gave Lok Sabha's nod to a bill which seeks to weed out corruption, improve road safety and usher in use of technology to regulate traffic as the government assured Lok Sabha that rights of the states will not be violated.",['Lok'],,2019-07-23,"[('2019-07-23', 'Tuesday')]",,
598,2019-07-23T18:03:55.000Z,"Mumbai, Jul 23: Vidya Balan is all set to turn producer with short film 'Natkhat'.",,,2019-07-23,"[('2019-07-23', 'Jul 23')]",,
611,2019-07-23T18:16:00.000Z,"Legal Metrology Department (LMD) Kupwara penalized an Ayurvedic medicine manufacturing company with a fine of Rs 30000 for violating provisions of Legal Metrology Act/ Rules, officials said.",['Kupwara'],,,[],,
627,2019-07-23T18:34:11.000Z,5.87 cr worth languishing projects in B’la.,,['B’la'],,[],,
627,2019-07-23T18:34:11.000Z,"Visits Kupwara, inaugurates dev projects",['Kupwara'],['Kupwara'],,[],,
628,2019-07-23T18:34:21.000Z,Condolence meeting held at Kargil Campus KU condoles,['Campus KU'],['KU'],,[],,
632,2019-07-23T18:35:28.000Z,"SRINAGAR, JULY 23: A book releasing function was organized by the Nigeeni Cultural Foundation in collaboration with Directorate of Information and Public Relations here today.",,,2019-07-23,"[('2019-07-23', 'today')]",,
634,2019-07-23T18:35:52.000Z,Trump accepts Imran Khan's invitation to visit Pakistan: Qureshi.,,['Pakistan'],,[],,
634,2019-07-23T18:35:52.000Z,"Washington, Jul 23 : Pakistan on Tuesday said Trump has accepted Imran Khan's's invitation to visit Pakistan.",,,2019-07-23,"[('2019-07-23', 'Jul 23'), ('2019-07-23', 'Tuesday')]",,
636,2019-07-23T18:36:15.000Z,"KUPWARA, JULY 23: District Development Commissioner (DDC), KUPWARA Anshul Garg handed over 30 dustbins to Kupwara Municipal Committee at a function organized here JULY 23.",['KUPWARA'],,2019-07-23,[],,
637,2019-07-23T18:36:27.000Z,"Mutton, poultry supplies to be transported through Mughal Road: Div Com",,['Mutton'],,[],,
638,2019-07-23T18:37:05.000Z,"SRINAGAR, JULY 23: The Jammu and Kashmir High Court JULY 23 condoled the demise of KuIdeep Singh Chib, Reader, High Court, who passed away recently.",,,2019-07-23,[],,
639,2019-07-23T18:37:12.000Z,"Amul, JKMPCL to increase capacity 10 times to 5 Lakh liters per day in 3 years: CS.",,['Amul'],,[],,
639,2019-07-23T18:37:12.000Z,Discusses strategy with MD Amul to bring about transformational change in Milk Production in J&K,,['J&K'],,[],,
641,2019-07-23T18:38:03.000Z,Kumar listens to people’s issues at Jammu.,,['Jammu'],,[],,
643,2019-07-23T18:39:14.000Z,Kumar calls for beautification of Jammu city.,,['Jammu city'],,[],,
644,2019-07-23T18:39:54.000Z,Various delegations meet Governor in Nubra.,['Nubra'],['Nubra'],,[],,
644,2019-07-23T18:39:54.000Z,"LEH, JULY 23: Governor, met various delegations on the first day of a two-day visit to Nubra Valley in Leh district since yesterday.",['Nubra'],"['Leh', 'LEH']",2019-07-23,"[('2019-07-22', 'yesterday')]",,
651,2019-07-23T18:40:45.000Z,"LEH, JULY 23: The 9-day Dumra Khadot Yulsum Yarchos Chenmo was concluded with religious fervor at Khyungru Drigung Kagyut Tongdol-phug gonpa, Khyungru Nubra JULY 23.",,,2019-07-23,[],,
666,2019-07-23T19:01:33.000Z,"Jammu: Pakistan Army fired at forward posts along the Line of Control (LoC) in Poonch district of Jammu and Kashmir for a second consecutive day on Tuesday, officials said.","['Kashmir', 'Poonch']",,2019-07-23,"[('2019-07-23', 'Tuesday')]",,
667,2019-07-23T19:02:01.000Z,Girl drowns in Jehlum.,['Jehlum'],,,[],,
667,2019-07-23T19:02:01.000Z,"Uri: As drowning incidents continue to claim lives in north Kashmir's Baramulla district, another girl drowned in river Jhelum in Uri: on Tuesday.","['Baramulla', 'Kashmir']",['Uri'],2019-07-23,"[('2019-07-23', 'Tuesday')]",,
668,2019-07-23T19:04:52.000Z,"Srinagar: 3 Hizbul militantsHizbul , have been arrested here, police said on Tuesday",,['Srinagar'],2019-07-23,"[('2019-07-23', 'Tuesday')]",,
670,2019-07-23T19:06:52.000Z,"Rajouri, July 23: Thirteen months after the abduction and killing of Slain rifleman Aurangzeb's by militants in South Kashmir's Shopian district, Slain rifleman Aurangzeb's two brothers have joined Army to serve the nation and ""avenge Slain rifleman Aurangzeb's's death"".","['Rajouri', 'Shopian', 'South Kashmir']",,2019-07-23,"[('2019-07-23', 'July 23')]",,
